name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Jeremy Combs,41,0.16899999999999998,0.179,0.871,0.09300000000000001,0.083,0.2,2015-16
Deckie Johnson,18,0.16699999999999998,0.205,0.889,0.069,0.036000000000000004,0.16699999999999998,2015-16
Eric Katenda,17,0.157,0.111,0.5,0.102,0.049,0.222,2015-16
Khalil Fuller,12,0.222,0.217,0.625,0.182,0.2,0.25,2015-16
Brice Rickey,9,0.031,0.04,1,0.091,0.086,0.375,2015-16
Ja'Michael Brown,4,0.039,0.034,0.5,0.051,0,0,2015-16
Allante Holston,2,0.053,0.048,0.5,0,0,NA,2015-16
Carrington Ward,2,0,0,NA,0.08,0.1,0.5,2015-16
J-Mychal Reese,2,0.011000000000000001,0,0,0.006,0,0,2015-16
Greg White-Pittman,2,0.091,0,0,0.091,0,0,2015-16
Total,109,0.11,0.11599999999999999,0.746,0.062,0.042,0.233,2015-16
