name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Demetrius Jackson,428,0.56,0.514,0.348,0.617,0.272,0.271,0.405,0.021,0.381,0.331,0.426,0.325,0.813,2015-16,NotreDame
Zach Auguste,343,0.581,0.56,0.787,0.633,0.491,0.213,0.28800000000000003,0.23800000000000002,0,NA,NA,0.557,0.628,2015-16,NotreDame
Steve Vasturia,340,0.54,0.499,0.41200000000000003,0.579,0.284,0.203,0.304,0.095,0.385,0.344,0.9329999999999999,0.24100000000000002,0.8540000000000001,2015-16,NotreDame
V.J. Beachem,334,0.608,0.608,0.177,0.6609999999999999,0.436,0.231,0.41600000000000004,0.21899999999999997,0.593,0.444,0.966,0.141,0.574,2015-16,NotreDame
Bonzie Colson,282,0.587,0.539,0.461,0.631,0.524,0.496,0.457,0.516,0.043,0.33299999999999996,1,0.44,0.774,2015-16,NotreDame
Matt Ryan,144,0.595,0.5760000000000001,0.062,0.778,0.7140000000000001,0.083,0.583,0.14300000000000002,0.8540000000000001,0.374,0.9570000000000001,0.16699999999999998,0.792,2015-16,NotreDame
Matt Farrell,63,0.507,0.452,0.159,0.5,0.2,0.302,0.368,0.14300000000000002,0.54,0.324,0.636,0.27,0.882,2015-16,NotreDame
Rex Pflueger,55.00000000000001,0.539,0.455,0.2,0.455,0.2,0.345,0.42100000000000004,0.125,0.455,0.32,0.875,0.382,0.9520000000000001,2015-16,NotreDame
Austin Torres,20,0.485,0.5,0.8,0.562,0.556,0.2,0.25,0,0,NA,NA,0.5,0.4,2015-16,NotreDame
A.J. Burgett,19,0.732,0.737,0.263,0.8,0.75,0.105,0.5,0,0.632,0.5,1,0.316,0.667,2015-16,NotreDame
Martinas Geben,11,0.698,0.545,0.909,0.6,0.5,0.091,0,NA,0,NA,NA,0.909,1,2015-16,NotreDame
Matt Gregory,3,0,0,0.33299999999999996,0,NA,0,NA,NA,0.667,0,NA,0,NA,2015-16,NotreDame
Total,2042.0000000000002,0.5730000000000001,0.54,0.397,0.619,0.419,0.261,0.39299999999999996,0.244,0.34299999999999997,0.374,0.8320000000000001,0.32899999999999996,0.742,2015-16,NotreDame
