name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Marcus Evans,474,0.585,0.525,0.35200000000000004,0.677,0.106,0.289,0.423,0.069,0.359,0.306,0.731,0.496,0.7959999999999999,2015-16,Rice
Egor Koulechov,420,0.56,0.512,0.245,0.66,0.529,0.198,0.325,0.111,0.557,0.342,0.988,0.29,0.861,2015-16,Rice
Connor Cashaw,223,0.539,0.527,0.161,0.722,0.26899999999999996,0.318,0.33799999999999997,0.25,0.52,0.38799999999999996,0.9329999999999999,0.278,0.597,2015-16,Rice
Marquez Letcher-Ellis,214,0.5700000000000001,0.5329999999999999,0.565,0.711,0.593,0.243,0.308,0.188,0.192,0.195,0.875,0.71,0.645,2015-16,Rice
Max Guercy,159,0.545,0.43700000000000006,0.289,0.522,0.042,0.33299999999999996,0.321,0,0.377,0.317,0.9470000000000001,0.654,0.846,2015-16,Rice
Andrew Drone,154,0.646,0.63,0.773,0.731,0.7929999999999999,0.22699999999999998,0.28600000000000003,0.4,0,NA,NA,0.40299999999999997,0.6940000000000001,2015-16,Rice
Bishop Mency,128,0.409,0.41,0.172,0.682,0.667,0.109,0.214,0,0.7190000000000001,0.25,0.9570000000000001,0.14800000000000002,0.368,2015-16,Rice
Amir Smith,16,0.5640000000000001,0.562,0.688,0.636,0.857,0.312,0.4,0,0,NA,NA,0.812,0.5379999999999999,2015-16,Rice
Oliver Xu,6,0.4320000000000001,0.41700000000000004,0.33299999999999996,0,NA,0.16699999999999998,1,1,0.5,0.33299999999999996,1,0.33299999999999996,0.5,2015-16,Rice
Harrison Brown,3,0.33299999999999996,0.33299999999999996,0.667,0.5,0,0.33299999999999996,0,NA,0,NA,NA,0,NA,2015-16,Rice
Nate Pollard,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,2,0,2015-16,Rice
Total,1798,0.56,0.516,0.35,0.679,0.45,0.252,0.349,0.133,0.39799999999999996,0.318,0.9079999999999999,0.43,0.741,2015-16,Rice
