name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Josh Adams,492,0.604,0.539,0.24600000000000002,0.6859999999999999,0.07200000000000001,0.23800000000000002,0.325,0.079,0.516,0.37799999999999995,0.469,0.516,0.8270000000000001,2015-16
Jason McManamen,296,0.642,0.615,0.155,0.674,0.226,0.139,0.317,0.308,0.706,0.44,0.946,0.37200000000000005,0.755,2015-16
Alan Herndon,174,0.5770000000000001,0.5660000000000001,0.42,0.8220000000000001,0.8,0.259,0.289,0.462,0.322,0.304,1,0.44299999999999995,0.597,2015-16
Justin James,134,0.504,0.489,0.16399999999999998,0.591,0.385,0.44,0.40700000000000003,0.20800000000000002,0.396,0.358,0.895,0.34299999999999997,0.565,2015-16
AKA,128,0.557,0.516,0.21899999999999997,0.46399999999999997,0.154,0.062,0.25,0,0.7190000000000001,0.37,0.912,0.47700000000000004,0.705,2015-16
Jeremy Lieberman,117,0.48600000000000004,0.457,0.111,0.462,0.5,0.231,0.259,0.14300000000000002,0.6579999999999999,0.35100000000000003,0.667,0.188,0.773,2015-16
Trey Washington III,80,0.41200000000000003,0.38799999999999996,0.2,0.43799999999999994,0.14300000000000002,0.15,0.5,0.33299999999999996,0.65,0.231,1.083,0.225,0.611,2015-16
Hayden Dalton,73,0.5760000000000001,0.507,0.37,0.7040000000000001,0.789,0.17800000000000002,0.231,0.33299999999999996,0.452,0.303,1,0.575,0.7859999999999999,2015-16
Jonathan Barnes,39,0.4730000000000001,0.462,0.769,0.5670000000000001,0.647,0.231,0.111,1,0,NA,NA,0.9740000000000001,0.474,2015-16
Jordan Naughton,30,0.6869999999999999,0.8,0.733,0.8640000000000001,0.579,0.267,0.625,0.4,0,NA,NA,1.367,0.488,2015-16
Morris Marshall,7.000000000000001,0.33399999999999996,0.28600000000000003,0,NA,NA,0.5710000000000001,0.5,0,0.429,0,NA,0.14300000000000002,1,2015-16
Total,1570,0.5750000000000001,0.537,0.254,0.6729999999999999,0.40700000000000003,0.218,0.332,0.21899999999999997,0.528,0.37,0.775,0.452,0.715,2015-16
