team,season,e_fg_percent_off,percent_shots_at_rim_off,fg_percent_at_rim_off,percent_assisted_at_rim,percent_shots_2pt_j_off,fg_percent_2pt_jumpers_off,percent_assisted_2pt_jumpers,percent_of_shots_3pt_off,x3fg_percent_off,percent_assisted_3pt,percent_shots_in_transition_off,transition_e_fg_percent_off,non_transtion_e_fg_percent_off,e_fg_percent_def,percent_shots_at_rim_def,fg_percent_at_rim_def,percent_blocked_at_rim,percent_shots_2pt_j_def,fg_percent_2pt_jumpers_def,percent_blocked_2pt_jumpers,percent_of_shots_3pt_def,x3fg_percent_def,percent_blocked_3pt,percent_shots_in_transition_def,transition_e_fg_percent_def,non_transtion_e_fg_percent_def,percent_of_initial_fga_in_transition_off,percent_of_initial_fga_rebound_0_10_s_off,e_fg_percent_rebound_0_10_s_off,percent_of_initial_fga_rebound_11_30_s_off,e_fg_percent_rebound_11_30_s_off,percent_of_initial_fga_score_0_10_s_off,e_fg_percent_score_0_10_s_off,percent_of_initial_fga_score_11_30_s_off,e_fg_percent_score_11_30_s_off,percent_of_initial_fga_steal_0_10_s_off,e_fg_percent_steal_0_10_s_off,percent_of_initial_fga_steal_11_30_s_off,e_fg_percent_steal_11_30_s_off,percent_of_initial_fga_in_transition_def,percent_of_initial_fga_rebound_0_10_s_def,e_fg_percent_rebound_0_10_s_def,percent_of_initial_fga_rebound_11_30_s_def,e_fg_percent_rebound_11_30_s_def,percent_of_initial_fga_score_0_10_s_def,e_fg_percent_score_0_10_s_def,percent_of_initial_fga_score_11_30_s_def,e_fg_percent_score_11_30_s_def,percent_of_initial_fga_steal_0_10_s_def,e_fg_percent_steal_0_10_s_def,percent_of_initial_fga_steal_11_30_s_def,e_fg_percent_steal_11_30_s_def
UC Santa Barbara,2015-16,0.506,0.317,0.636,0.5379999999999999,0.326,0.341,0.389,0.358,0.361,0.805,0.166,0.537,0.5,0.461,0.298,0.562,0.10400000000000001,0.287,0.374,0.066,0.415,0.3,0.008,0.19,0.509,0.45,0.19399999999999998,0.099,0.47600000000000003,0.282,0.48100000000000004,0.037000000000000005,0.49200000000000005,0.387,0.478,0.059000000000000004,0.6679999999999999,0.026000000000000002,0.47700000000000004,0.22,0.11800000000000001,0.484,0.233,0.45299999999999996,0.046,0.377,0.4,0.446,0.055999999999999994,0.669,0.02,0.344
Toledo,2015-16,0.53,0.337,0.597,0.45799999999999996,0.28,0.426,0.531,0.384,0.364,0.8859999999999999,0.21899999999999997,0.491,0.54,0.506,0.306,0.589,0.063,0.325,0.345,0.039,0.369,0.386,0.004,0.231,0.5760000000000001,0.485,0.248,0.13699999999999998,0.46,0.235,0.5870000000000001,0.053,0.489,0.37799999999999995,0.473,0.059000000000000004,0.5670000000000001,0.018000000000000002,0.569,0.26,0.127,0.604,0.214,0.475,0.065,0.47200000000000003,0.413,0.465,0.068,0.624,0.026000000000000002,0.40700000000000003
Indiana,2015-16,0.5870000000000001,0.41200000000000003,0.639,0.447,0.18,0.384,0.23399999999999999,0.408,0.41600000000000004,0.8320000000000001,0.266,0.649,0.564,0.498,0.402,0.5820000000000001,0.115,0.28600000000000003,0.36200000000000004,0.062,0.312,0.34299999999999997,0.011000000000000001,0.19899999999999998,0.586,0.47600000000000003,0.317,0.172,0.63,0.17600000000000002,0.581,0.069,0.602,0.37,0.555,0.077,0.733,0.027999999999999997,0.46799999999999997,0.22899999999999998,0.109,0.58,0.175,0.42100000000000004,0.054000000000000006,0.46799999999999997,0.444,0.47100000000000003,0.066,0.6920000000000001,0.026000000000000002,0.598
NC State,2015-16,0.485,0.35600000000000004,0.605,0.381,0.34700000000000003,0.33,0.249,0.298,0.348,0.778,0.184,0.531,0.475,0.506,0.35,0.578,0.132,0.285,0.348,0.075,0.365,0.374,0.006999999999999999,0.24600000000000002,0.534,0.49700000000000005,0.222,0.129,0.54,0.237,0.47600000000000003,0.05,0.46399999999999997,0.42,0.47600000000000003,0.043,0.585,0.02,0.455,0.29,0.151,0.525,0.195,0.529,0.066,0.434,0.41200000000000003,0.493,0.073,0.644,0.016,0.28600000000000003
Brown,2015-16,0.49700000000000005,0.431,0.545,0.46799999999999997,0.17600000000000002,0.318,0.318,0.39299999999999996,0.35100000000000003,0.94,0.225,0.506,0.495,0.501,0.373,0.563,0.133,0.27,0.381,0.055,0.35700000000000004,0.35200000000000004,0.002,0.18600000000000003,0.605,0.478,0.256,0.124,0.555,0.231,0.494,0.079,0.47700000000000004,0.39299999999999996,0.522,0.052000000000000005,0.431,0.023,0.375,0.218,0.10800000000000001,0.561,0.24600000000000002,0.494,0.032,0.467,0.40700000000000003,0.45299999999999996,0.077,0.723,0.034,0.602
Wright St.,2015-16,0.514,0.295,0.612,0.465,0.34700000000000003,0.38299999999999995,0.354,0.359,0.373,0.883,0.191,0.622,0.488,0.48,0.312,0.635,0.08199999999999999,0.33399999999999996,0.32,0.039,0.355,0.32899999999999996,0.011000000000000001,0.184,0.506,0.474,0.21,0.11800000000000001,0.619,0.235,0.47100000000000003,0.038,0.705,0.381,0.508,0.054000000000000006,0.569,0.027000000000000003,0.511,0.20800000000000002,0.111,0.491,0.287,0.48100000000000004,0.049,0.45399999999999996,0.365,0.435,0.049,0.5920000000000001,0.026000000000000002,0.415
UC Irvine,2015-16,0.516,0.33799999999999997,0.62,0.525,0.36,0.385,0.462,0.302,0.371,0.8370000000000001,0.192,0.569,0.504,0.441,0.267,0.505,0.155,0.365,0.34,0.11900000000000001,0.368,0.33,0.013000000000000001,0.183,0.47100000000000003,0.434,0.221,0.122,0.57,0.268,0.478,0.035,0.47600000000000003,0.376,0.496,0.065,0.615,0.023,0.5710000000000001,0.212,0.11199999999999999,0.445,0.223,0.424,0.055999999999999994,0.43799999999999994,0.41200000000000003,0.424,0.043,0.58,0.032,0.38299999999999995
Furman,2015-16,0.522,0.4,0.633,0.397,0.17800000000000002,0.363,0.248,0.42100000000000004,0.322,0.818,0.21100000000000002,0.562,0.511,0.498,0.365,0.5670000000000001,0.127,0.271,0.37799999999999995,0.047,0.364,0.34600000000000003,0.006,0.18,0.5429999999999999,0.488,0.247,0.133,0.583,0.228,0.534,0.040999999999999995,0.5920000000000001,0.389,0.48,0.07400000000000001,0.509,0.023,0.473,0.20800000000000002,0.092,0.557,0.235,0.501,0.046,0.48700000000000004,0.41,0.452,0.07,0.561,0.03,0.38799999999999996
Southeast Mo. St.,2015-16,0.457,0.256,0.599,0.486,0.446,0.369,0.369,0.298,0.312,0.8240000000000001,0.239,0.49,0.447,0.547,0.287,0.693,0.037000000000000005,0.331,0.413,0.051,0.382,0.368,0.002,0.207,0.598,0.5329999999999999,0.27899999999999997,0.133,0.489,0.188,0.41600000000000004,0.059000000000000004,0.358,0.402,0.43200000000000005,0.086,0.581,0.021,0.379,0.237,0.13699999999999998,0.545,0.25,0.513,0.034,0.635,0.375,0.525,0.066,0.688,0.026000000000000002,0.569
UAB,2015-16,0.541,0.39,0.629,0.539,0.26899999999999996,0.392,0.5529999999999999,0.341,0.37200000000000005,0.912,0.2,0.617,0.523,0.475,0.364,0.564,0.15,0.28300000000000003,0.34,0.131,0.353,0.327,0.021,0.21899999999999997,0.49,0.47,0.233,0.128,0.601,0.237,0.509,0.037000000000000005,0.621,0.39899999999999997,0.489,0.068,0.643,0.025,0.605,0.257,0.11699999999999999,0.445,0.198,0.451,0.064,0.5,0.41700000000000004,0.429,0.076,0.55,0.018000000000000002,0.645
