name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Amir Warnock,29,0.29100000000000004,0.271,0.565,0.136,0.154,0.33299999999999996,2016-17
Tony Armstrong,25,0.207,0.258,0.667,0.006,0,0,2016-17
Mikel Tyson,18,0.21100000000000002,0.25,0.688,0.095,0.2,1,2016-17
Reginald Gee,14,0.179,0.214,0.6,0.032,0,0,2016-17
Corvon Butler,14,0.292,0.24100000000000002,0.5,0,0,NA,2016-17
Rodney Simeon,11,0.102,0.185,0.833,0.085,0.05,0.25,2016-17
Terrance LeFlore,5,0.039,0.026000000000000002,0.33299999999999996,0.034,0.048,0.5,2016-17
Glenn Hollaway,4,0.5,0.667,0.5,0,0,NA,2016-17
Demetruis Houston,3,0.125,0.16699999999999998,0.5,0.028999999999999998,0,0,2016-17
Steve Rogers,3,0.034,0,0,0,0,NA,2016-17
Torlorf Thomas,1,0.031,0,0,0,0,NA,2016-17
Davante Pope,1,1,1,1,0,0,NA,2016-17
Total,128,0.174,0.203,0.6,0.032,0.027999999999999997,0.33299999999999996,2016-17
