name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Obinna Oleka,34,0.228,0.2,0.545,0.011000000000000001,0.037000000000000005,1,2016-17,ArizonaSt.
Ramon Vila,12,0.293,0.267,0.667,0,0,NA,2016-17,ArizonaSt.
Jethro Tshisumpa,10,0.47100000000000003,0.3,0.375,0.222,0,0,2016-17,ArizonaSt.
Torian Graham,10,0.08900000000000001,0.07200000000000001,0.556,0.008,0,0,2016-17,ArizonaSt.
Tra Holder,7,0.040999999999999995,0.05,0.667,0.008,0.023,1,2016-17,ArizonaSt.
Andre Adams,5,0.222,0.125,0.5,1,1,0.33299999999999996,2016-17,ArizonaSt.
Shannon Evans II,5,0.013999999999999999,0.03,1,0.038,0.091,1,2016-17,ArizonaSt.
Kodi Justice,3,0.075,0.095,0.667,0,0,NA,2016-17,ArizonaSt.
Sam Cunliffe,3,0.158,0.25,0.667,0,0,NA,2016-17,ArizonaSt.
Maurice O'Field,1,0.16699999999999998,0.25,1,NA,NA,NA,2016-17,ArizonaSt.
Total,90,0.11900000000000001,0.11900000000000001,0.5820000000000001,0.02,0.028999999999999998,0.5,2016-17,ArizonaSt.
