name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Willie Rodriguez,206,0.5770000000000001,0.5489999999999999,0.39299999999999996,0.679,0.455,0.33,0.368,0.12,0.27699999999999997,0.386,0.909,0.311,0.7340000000000001,2016-17,Binghamton
Bobby Ahearn,204,0.623,0.591,0.461,0.67,0.5870000000000001,0.26,0.491,0.615,0.27899999999999997,0.368,1,0.314,0.797,2016-17,Binghamton
Marlon Beck II,196,0.48700000000000004,0.469,0.14800000000000002,0.69,0.1,0.102,0.3,0.16699999999999998,0.75,0.299,0.659,0.18899999999999997,0.649,2016-17,Binghamton
Timmy Rose,179,0.559,0.525,0.419,0.507,0.079,0.268,0.354,0.059000000000000004,0.313,0.46399999999999997,0.5770000000000001,0.358,0.7190000000000001,2016-17,Binghamton
Thomas Bruce,171,0.492,0.45,0.608,0.5770000000000001,0.7829999999999999,0.38,0.262,0.588,0.012,0,NA,0.532,0.626,2016-17,Binghamton
Everson Davis,155,0.466,0.397,0.49700000000000005,0.41600000000000004,0.43799999999999994,0.32299999999999995,0.38,0.368,0.18100000000000002,0.25,0.857,0.49,0.7240000000000001,2016-17,Binghamton
Dusan Perovic,154,0.502,0.49,0.312,0.521,0.52,0.20800000000000002,0.5,0.312,0.48100000000000004,0.311,0.9570000000000001,0.221,0.588,2016-17,Binghamton
Fard Muhammad,142,0.526,0.504,0.183,0.34600000000000003,0,0.141,0.35,0.429,0.6759999999999999,0.385,0.946,0.106,0.9329999999999999,2016-17,Binghamton
Yosef Yacob,129,0.5660000000000001,0.539,0.20199999999999999,0.5,0.077,0.264,0.382,0.077,0.535,0.42,0.828,0.33299999999999996,0.698,2016-17,Binghamton
J.C. Show,120,0.5720000000000001,0.525,0.142,0.706,0.33299999999999996,0.3,0.41700000000000004,0.067,0.5579999999999999,0.358,0.542,0.33299999999999996,0.825,2016-17,Binghamton
John Rinaldi,46,0.47600000000000003,0.457,0.674,0.484,0.4,0.261,0.5,0.33299999999999996,0.065,0,NA,0.348,0.562,2016-17,Binghamton
John Schurman,35,0.61,0.643,0.086,0.33299999999999996,1,0.14300000000000002,0.4,0,0.7709999999999999,0.48100000000000004,1,0.114,0,2016-17,Binghamton
Jordan McRae,12,0.33299999999999996,0.33299999999999996,0.41700000000000004,0.6,0.667,0.583,0.14300000000000002,0,0,NA,NA,0,NA,2016-17,Binghamton
Justin McFadden,8,0.8390000000000002,0.875,0.75,0.667,0.75,0,NA,NA,0.25,1,1,0.875,0.7140000000000001,2016-17,Binghamton
Total,1757,0.538,0.508,0.354,0.563,0.451,0.256,0.37799999999999995,0.294,0.39,0.36200000000000004,0.8059999999999999,0.316,0.705,2016-17,Binghamton
