name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Marcel Pettway,33,0.157,0.16899999999999998,0.6559999999999999,0.027000000000000003,0.062,1,2016-17,Bryant
Dan Garvin,14,0.152,0.12,0.5,0.14300000000000002,0.25,0.5,2016-17,Bryant
Nisre Zouzoua,13,0.08800000000000001,0.08900000000000001,0.5379999999999999,0,0,NA,2016-17,Bryant
Sebastian Townes,9,0.08900000000000001,0.075,0.5710000000000001,0.047,0.077,0.5,2016-17,Bryant
Adam Grant,9,0.07400000000000001,0.091,0.5710000000000001,0.019,0.02,0.5,2016-17,Bryant
Bosko Kostur,8,0.096,0.071,0.429,0,0,NA,2016-17,Bryant
Gus Riley,2,0.16699999999999998,0,0,0,0,NA,2016-17,Bryant
Ikenna Ndugba,1,0,0,NA,0.023,0,0,2016-17,Bryant
Taylor McHugh,1,0,0,NA,0.083,0,0,2016-17,Bryant
Total,90,0.10300000000000001,0.102,0.562,0.021,0.025,0.444,2016-17,Bryant
