name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Chris Clemons,673,0.58,0.535,0.29100000000000004,0.612,0.192,0.215,0.434,0.095,0.493,0.355,0.40700000000000003,0.331,0.825,2016-17
Shane Whitfield,274,0.54,0.44299999999999995,0.613,0.56,0.489,0.358,0.265,0.26899999999999996,0.028999999999999998,0.125,1,0.81,0.752,2016-17
Marcus Burk,224.00000000000003,0.596,0.578,0.17,0.526,0.55,0.085,0.474,0.33299999999999996,0.746,0.401,0.955,0.165,0.784,2016-17
Cory Gensler,210,0.583,0.569,0.214,0.644,0.483,0.205,0.395,0.235,0.581,0.402,1,0.171,0.722,2016-17
Andrew Eudy,166,0.5680000000000001,0.557,0.506,0.607,0.627,0.331,0.509,0.28600000000000003,0.163,0.33299999999999996,1,0.217,0.639,2016-17
Kyre' Hamer,148,0.653,0.618,0.43200000000000005,0.672,0.256,0.324,0.41700000000000004,0.1,0.243,0.528,0.895,0.39899999999999997,0.797,2016-17
Damontez Oliver,96,0.479,0.469,0.188,0.556,0.6,0.115,0.182,0,0.698,0.32799999999999996,0.8640000000000001,0.115,0.636,2016-17
Mogga Lado,89,0.592,0.596,0.865,0.597,0.565,0.135,0.583,0.429,0,NA,NA,0.551,0.551,2016-17
Khadre Lane,36,0.45199999999999996,0.361,0.5,0.33299999999999996,0.16699999999999998,0.139,0.2,0,0.361,0.308,1,0.611,0.727,2016-17
Austin Burnette,28.999999999999996,0.396,0.345,0.207,0.667,0.5,0.379,0.273,0.33299999999999996,0.414,0.16699999999999998,1,0.276,0.75,2016-17
Quinton Ray,18,0.4010000000000001,0.361,0.33299999999999996,0.667,0.5,0.389,0.14300000000000002,1,0.278,0.2,1,0.667,0.5,2016-17
Jacob Talbert,9,0.22200000000000003,0.222,0.222,0.5,1,0.33299999999999996,0.33299999999999996,1,0.444,0,NA,0,NA,2016-17
Nick Parker,9,0.6669999999999999,0.667,0.33299999999999996,0.667,1,0.222,0.5,0,0.444,0.5,1,0,NA,2016-17
Jon Ander Cuadra,8,0.75,0.75,0.75,1,0.5,0.25,0,NA,0,NA,NA,0,NA,2016-17
Josh Crumpler,3,0.279,0,0,NA,NA,0.667,0,NA,0.33299999999999996,0,NA,1.6669999999999998,0.6,2016-17
"MITCHELL,CORTEZ",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17
Total,1992.0000000000002,0.5680000000000001,0.53,0.36700000000000005,0.596,0.413,0.23199999999999998,0.387,0.201,0.401,0.368,0.735,0.361,0.7509999999999999,2016-17
