name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Devaughn Mallory,30,0.26,0.23399999999999999,0.75,0.076,0.111,0.6,2016-17,DelawareSt.
Demola Onifade,13,0.348,0.385,0.625,0.185,0.4,0.4,2016-17,DelawareSt.
Kavon Waller,9,0.182,0.133,0.5,0.08199999999999999,0.174,0.8,2016-17,DelawareSt.
Artem Tavakalyan,9,0.073,0.071,0.5,0.114,0.188,0.6,2016-17,DelawareSt.
Joseph Lewis,9,0.195,0.217,0.625,0.017,0,0,2016-17,DelawareSt.
"GASEVIC,MRDJAN",7,0.067,0.115,1,0.085,0.111,0.5,2016-17,DelawareSt.
Kobie Gantz,5,0.045,0.08,1,0.115,0.125,0.33299999999999996,2016-17,DelawareSt.
Deandre Haywood,4,0.028999999999999998,0.051,1,0,0,NA,2016-17,DelawareSt.
Devin Morgan,3,0.049,0.045,0.33299999999999996,0,0,NA,2016-17,DelawareSt.
Dana Raysor,2,0.111,0.14300000000000002,0.5,0,0,NA,2016-17,DelawareSt.
Mahir Johnson,2,0.222,0.33299999999999996,1,0,0,NA,2016-17,DelawareSt.
Jamelle Christian,1,0.2,0,0,0,0,NA,2016-17,DelawareSt.
Total,94,0.11199999999999999,0.135,0.6890000000000001,0.055,0.087,0.545,2016-17,DelawareSt.
