name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kentrell Barkley,329,0.52,0.467,0.40399999999999997,0.534,0.33799999999999997,0.249,0.293,0.125,0.34700000000000003,0.342,0.7440000000000001,0.5710000000000001,0.6809999999999999,2016-17,EastCarolina
Caleb White,328,0.526,0.494,0.122,0.625,0.56,0.259,0.341,0.31,0.619,0.355,0.903,0.201,0.818,2016-17,EastCarolina
Jeremy Sheppard,254.99999999999997,0.48600000000000004,0.46299999999999997,0.192,0.51,0.2,0.22699999999999998,0.31,0.111,0.58,0.33799999999999997,0.78,0.239,0.6559999999999999,2016-17,EastCarolina
B.J. Tyson,237,0.451,0.418,0.363,0.47700000000000004,0.512,0.38799999999999996,0.37,0.5,0.249,0.271,0.875,0.266,0.6829999999999999,2016-17,EastCarolina
Elijah Hughes,166,0.477,0.42200000000000004,0.295,0.531,0.26899999999999996,0.175,0.276,0.25,0.53,0.273,1,0.47600000000000003,0.684,2016-17,EastCarolina
Andre Washington,154,0.546,0.565,0.494,0.618,0.596,0.5,0.519,0.475,0.006,0,NA,0.747,0.47,2016-17,EastCarolina
Deng Riak,112.99999999999999,0.4320000000000001,0.41200000000000003,0.257,0.621,0.667,0.611,0.348,0.708,0.133,0.2,1,0.204,0.609,2016-17,EastCarolina
Michel Nzege,75,0.509,0.467,0.45299999999999996,0.706,0.45799999999999996,0.44,0.242,0.25,0.107,0.25,1,0.293,0.773,2016-17,EastCarolina
Clarence Williams,56.99999999999999,0.45799999999999996,0.41200000000000003,0.298,0.529,0.667,0.561,0.312,0.3,0.14,0.375,1,0.316,0.722,2016-17,EastCarolina
Raquan Wilkins,55.00000000000001,0.391,0.336,0.182,0.6,0.33299999999999996,0.382,0.23800000000000002,0.4,0.436,0.20800000000000002,1,0.29100000000000004,0.75,2016-17,EastCarolina
Jabari Craig,23,0.374,0.261,0.478,0.364,0.5,0.522,0.16699999999999998,0,0,NA,NA,0.9570000000000001,0.591,2016-17,EastCarolina
Addison Hill,4,0.75,0.75,0.5,0.5,1,0.5,1,0.5,0,NA,NA,0,NA,2016-17,EastCarolina
Justice Obasohan,1,1,1,1,1,0,0,NA,NA,0,NA,NA,0,NA,2016-17,EastCarolina
Total,1797,0.49300000000000005,0.45799999999999996,0.299,0.555,0.446,0.32899999999999996,0.345,0.377,0.37200000000000005,0.32,0.86,0.375,0.657,2016-17,EastCarolina
