name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Asante Gist,422,0.498,0.45,0.299,0.47600000000000003,0.1,0.254,0.318,0.028999999999999998,0.44799999999999995,0.33899999999999997,0.6409999999999999,0.36700000000000005,0.735,2016-17
Nick Mayo,403,0.59,0.5429999999999999,0.28300000000000003,0.649,0.595,0.516,0.466,0.423,0.201,0.395,1,0.439,0.774,2016-17
Isaac McGlone,190,0.532,0.49700000000000005,0.21600000000000003,0.585,0.20800000000000002,0.079,0.2,0,0.705,0.336,0.8,0.226,0.8140000000000001,2016-17
Dillon Avare,188,0.52,0.511,0.016,0,NA,0.037000000000000005,0.429,0.33299999999999996,0.9470000000000001,0.348,1,0.069,0.769,2016-17
Zach Charles,133,0.587,0.523,0.647,0.6509999999999999,0.643,0.278,0.324,0.583,0.075,0.1,0,0.82,0.716,2016-17
Marlon Adams,112.99999999999999,0.512,0.54,0.735,0.627,0.6920000000000001,0.15,0.17600000000000002,0.667,0.115,0.308,1,0.425,0.354,2016-17
Deandre Dishman,104,0.608,0.615,0.6629999999999999,0.638,0.591,0.337,0.5710000000000001,0.75,0,NA,NA,0.5579999999999999,0.552,2016-17
Jaylen Babb-Harrison,102,0.498,0.441,0.17600000000000002,0.611,0.455,0.21600000000000003,0.318,0.429,0.608,0.29,0.5,0.235,0.958,2016-17
Parker Chitty,63,0.381,0.33299999999999996,0.111,0.7140000000000001,0.2,0.14300000000000002,0.444,0,0.746,0.17,1,0.349,0.636,2016-17
Lachlan Anderson,21,0.29600000000000004,0.31,0.19,1,0,0.33299999999999996,0.14300000000000002,1,0.47600000000000003,0.1,1,0.095,0,2016-17
Kirkland Humphrey,9,0.11100000000000002,0.111,0.33299999999999996,0.33299999999999996,1,0.222,0,NA,0.444,0,NA,0,NA,2016-17
Daniel Parke,3,0.20400000000000001,0,0,NA,NA,0.33299999999999996,0,NA,0.667,0,NA,1.3330000000000002,0.5,2016-17
Trevor Hill,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2016-17
Total,1752,0.532,0.495,0.316,0.597,0.483,0.267,0.39399999999999996,0.386,0.41700000000000004,0.321,0.821,0.374,0.705,2016-17
