name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Mike Holloway,43,0.215,0.19399999999999998,0.585,0.048,0.222,1,2016-17,FairleighDickinson
Kaleb Bishop,19,0.306,0.371,0.684,0,0,NA,2016-17,FairleighDickinson
Malik Miller,16,0.28300000000000003,0.34299999999999997,0.9229999999999999,0.107,0.231,1,2016-17,FairleighDickinson
Darnell Edge,7,0.063,0.047,0.5,0.065,0.043,0.33299999999999996,2016-17,FairleighDickinson
Darian Anderson,6,0.033,0.066,1,0.017,0,0,2016-17,FairleighDickinson
Potts Earl,6,0.08199999999999999,0.081,0.6,0.048,0,0,2016-17,FairleighDickinson
Tyrone O'Garro,5,0.25,0.3,0.6,0,0,NA,2016-17,FairleighDickinson
Nadi Beciri,4,0.33299999999999996,0.25,0.25,0,0,NA,2016-17,FairleighDickinson
Stephan Jiggetts,3,0.027000000000000003,0,0,0,0,NA,2016-17,FairleighDickinson
Ashton Malone-Dunson,1,NA,NA,NA,0.5,0,0,2016-17,FairleighDickinson
Mike Schroback,1,0.125,NA,0,0,0,NA,2016-17,FairleighDickinson
Ghassan Nehme,1,0.083,0,0,0,0,NA,2016-17,FairleighDickinson
Total,112,0.14,0.151,0.62,0.031,0.042,0.5,2016-17,FairleighDickinson
