name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Terance Mann,30,0.2,0.18600000000000003,0.64,0.08,0.14300000000000002,0.75,2016-17
Jonathan Isaac,27,0.255,0.297,0.815,0,0,NA,2016-17
Michael Ojo,21,0.25,0.196,0.47600000000000003,0,0,NA,2016-17
Dwayne Bacon,15,0.07,0.069,0.636,0.019,0.016,0.33299999999999996,2016-17
Jarquez Smith,13,0.19699999999999998,0.163,0.583,0.023,0,0,2016-17
Trent Forrest,12,0.133,0.125,0.5,0,0,NA,2016-17
Phil Cofer,10,0.18899999999999997,0.32,0.8,0,0,NA,2016-17
Jean Marc Christ Koumadje,8,0.135,0.05,0.28600000000000003,0.036000000000000004,0,0,2016-17
Xavier Rathan-Mayes,7,0.044000000000000004,0.046,0.75,0.025,0.069,1,2016-17
Braian Angola-Rodas,4,0.075,0.083,0.667,0.04,0.14300000000000002,1,2016-17
CJ Walker,4,0.054000000000000006,0.037000000000000005,0.33299999999999996,0.042,0.1,1,2016-17
PJ Savoy,1,0.111,0,0,0,0,NA,2016-17
Total,152,0.147,0.14300000000000002,0.618,0.024,0.037000000000000005,0.615,2016-17
