name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Gibson Johnson,29,0.046,0.040999999999999995,0.6,0.212,0.24,0.5,2016-17,Hawaii
Ido Flaisher,15,0.04,0.05,1,0.304,0.474,0.643,2016-17,Hawaii
Zigmars Raimo,9,0.111,0.17600000000000002,0.75,0.20800000000000002,0.111,0.2,2016-17,Hawaii
Noah Allen,7,0.016,0.012,0.5,0.048,0.048,0.4,2016-17,Hawaii
Jack Purchase,5,0.083,0,0,0.154,0.154,0.5,2016-17,Hawaii
Leland Green,4,0.054000000000000006,0.048,0.5,0.03,0,0,2016-17,Hawaii
Sheriff Drammeh,4,0.036000000000000004,0.032,0.5,0.013999999999999999,0.055999999999999994,1,2016-17,Hawaii
Larry Lewis,1,0,0,NA,0.1,0.5,1,2016-17,Hawaii
Matthew Owies,1,0,0,NA,0.048,0.16699999999999998,1,2016-17,Hawaii
Brocke Stepteau,1,0,0,NA,0.033,0,0,2016-17,Hawaii
Total,76,0.036000000000000004,0.034,0.588,0.11199999999999999,0.155,0.5,2016-17,Hawaii
