name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Erik McCree,21,0.092,0.10800000000000001,0.833,0.055999999999999994,0.055,0.375,2016-17,LouisianaTech
Omar Sherman,21,0.13,0.127,0.75,0.073,0.032,0.222,2016-17,LouisianaTech
Joniah White,17,0.29100000000000004,0.214,0.562,0.033,0,0,2016-17,LouisianaTech
Jacobi Boykins,10,0.064,0.038,0.4,0.081,0.16699999999999998,0.667,2016-17,LouisianaTech
Derric Jean,6,0.057999999999999996,0.049,0.4,0.023,0,0,2016-17,LouisianaTech
Daquan Bracey,5,0.031,0.042,0.75,0.017,0.055999999999999994,1,2016-17,LouisianaTech
Jalen Harris,4,0.053,0.083,1,0,0,NA,2016-17,LouisianaTech
Oliver Powell,4,0.188,0.222,0.667,0.067,0,0,2016-17,LouisianaTech
Jy'Lan Washington,3,0.05,0.059000000000000004,1,0.16699999999999998,0,0,2016-17,LouisianaTech
Total,91,0.09,0.094,0.677,0.047,0.039,0.308,2016-17,LouisianaTech
