name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Patrick Cole,529,0.503,0.446,0.299,0.46799999999999997,0.149,0.335,0.35600000000000004,0.063,0.36700000000000005,0.34,0.515,0.41,0.7559999999999999,2016-17,N.C.Central
Dajuan Graf,360,0.5760000000000001,0.5329999999999999,0.364,0.664,0.322,0.41100000000000003,0.385,0,0.225,0.395,0.594,0.36700000000000005,0.78,2016-17,N.C.Central
Rashaun Madison,304,0.513,0.51,0.066,0.75,0.667,0.049,0.33299999999999996,0.2,0.885,0.335,0.9440000000000001,0.102,0.5479999999999999,2016-17,N.C.Central
Del'Vin Dickerson,196,0.5760000000000001,0.561,0.526,0.6990000000000001,0.611,0.21899999999999997,0.395,0.41200000000000003,0.255,0.28,0.929,0.439,0.616,2016-17,N.C.Central
Ron Trapps,179,0.47000000000000003,0.45,0.134,0.583,0.214,0.196,0.314,0.364,0.67,0.308,1,0.134,0.75,2016-17,N.C.Central
Pablo Rivas,153,0.69,0.6829999999999999,0.503,0.753,0.69,0.32,0.612,0.8,0.17600000000000002,0.40700000000000003,1,0.268,0.7070000000000001,2016-17,N.C.Central
Kyle Benton,145,0.598,0.621,0.883,0.664,0.6709999999999999,0.11699999999999999,0.294,0.2,0,NA,NA,0.6,0.494,2016-17,N.C.Central
Will Ransom,74,0.5630000000000001,0.581,0.878,0.631,0.78,0.122,0.222,0,0,NA,NA,0.27,0.4,2016-17,N.C.Central
C.J. Wiggins,39,0.451,0.359,0.513,0.4,0.125,0.256,0.3,0,0.231,0.222,1,0.59,0.7390000000000001,2016-17,N.C.Central
Michael Wolfe,13,0.5650000000000001,0.5379999999999999,0.231,1,1,0.154,0.5,1,0.615,0.25,1,0.615,0.625,2016-17,N.C.Central
Marius McAllister,6,0.6729999999999999,0.667,0.667,1,0.5,0.16699999999999998,0,NA,0.16699999999999998,0,NA,0.5,0.667,2016-17,N.C.Central
Raekwon Harney,6,0.21600000000000005,0.25,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0.33299999999999996,0.5,1,0.33299999999999996,0,2016-17,N.C.Central
John Guerra,1,0.696,0,1,0,NA,0,NA,NA,0,NA,NA,10,0.8,2016-17,N.C.Central
Total,2005,0.546,0.517,0.36700000000000005,0.626,0.501,0.253,0.382,0.21600000000000003,0.38,0.335,0.8,0.341,0.6829999999999999,2016-17,N.C.Central
