name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Tai Webster,434.99999999999994,0.515,0.467,0.386,0.631,0.23600000000000002,0.301,0.282,0.10800000000000001,0.313,0.294,0.675,0.377,0.7440000000000001,2016-17,Nebraska
Watson Glynn,332,0.532,0.494,0.205,0.603,0.146,0.446,0.345,0.078,0.349,0.414,0.521,0.253,0.81,2016-17,Nebraska
Jack McVeigh,196,0.522,0.49200000000000005,0.087,0.647,0.455,0.204,0.375,0.067,0.7090000000000001,0.33799999999999997,0.9790000000000001,0.209,0.78,2016-17,Nebraska
Michael Jacobson,184,0.438,0.402,0.266,0.551,0.444,0.609,0.366,0.488,0.125,0.174,1,0.31,0.649,2016-17,Nebraska
Morrow Ed,168,0.533,0.512,0.601,0.653,0.5760000000000001,0.39899999999999997,0.299,0.45,0,NA,NA,0.375,0.619,2016-17,Nebraska
Evan Taylor,155,0.466,0.43200000000000005,0.284,0.568,0.48,0.555,0.384,0.182,0.161,0.24,0.667,0.239,0.73,2016-17,Nebraska
Jordy Tshimanga,127,0.48900000000000005,0.449,0.354,0.622,0.607,0.6459999999999999,0.354,0.517,0,NA,NA,0.504,0.625,2016-17,Nebraska
Jeriah Horne,115.99999999999999,0.512,0.5,0.10300000000000001,0.667,0.75,0.32799999999999996,0.447,0.353,0.569,0.33299999999999996,0.955,0.129,0.667,2016-17,Nebraska
Isaiah Roby,94,0.45199999999999996,0.415,0.39399999999999996,0.622,0.565,0.39399999999999996,0.27,0.1,0.213,0.2,1,0.223,0.762,2016-17,Nebraska
Anton Gill,59,0.358,0.33899999999999997,0.153,0.33299999999999996,0.667,0.35600000000000004,0.23800000000000002,0.6,0.49200000000000005,0.276,1,0.136,0.625,2016-17,Nebraska
",GLYNN",13,0.308,0.308,0.154,0.5,0,0.462,0.5,0,0.385,0,NA,0,NA,2016-17,Nebraska
",ED",11,0.543,0.545,0.455,0.6,0.667,0.545,0.5,0.33299999999999996,0,NA,NA,0.364,0.5,2016-17,Nebraska
Nick Fuller,9,0.69,0.667,0.778,0.7140000000000001,0.6,0.222,0.5,0,0,NA,NA,0.778,0.7140000000000001,2016-17,Nebraska
Malcolm Laws,6,0.135,0.16699999999999998,0.33299999999999996,0.5,0,0.5,0,NA,0.16699999999999998,0,NA,0.5,0,2016-17,Nebraska
Mohammad Elradi,1,1,1,1,1,1,0,NA,NA,0,NA,NA,0,NA,2016-17,Nebraska
Total,1905.9999999999998,0.498,0.46299999999999997,0.297,0.616,0.40700000000000003,0.409,0.34,0.264,0.294,0.32,0.777,0.298,0.71,2016-17,Nebraska
