name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Marcus Marshall,487,0.593,0.539,0.09699999999999999,0.638,0.467,0.281,0.43799999999999994,0.233,0.622,0.38,0.722,0.40700000000000003,0.828,2016-17,Nevada
Cameron Oliver,434,0.5650000000000001,0.541,0.24,0.75,0.705,0.364,0.36700000000000005,0.534,0.396,0.384,0.9390000000000001,0.3,0.6920000000000001,2016-17,Nevada
Jordan Caroline,376,0.529,0.5,0.46799999999999997,0.574,0.525,0.311,0.385,0.42200000000000004,0.221,0.337,0.679,0.6679999999999999,0.59,2016-17,Nevada
D.J. Fenner,346,0.593,0.5429999999999999,0.19899999999999998,0.522,0.33299999999999996,0.376,0.431,0.375,0.425,0.435,0.8440000000000001,0.364,0.833,2016-17,Nevada
Lindsey Drew,162,0.546,0.537,0.35200000000000004,0.632,0.5,0.278,0.267,0.33299999999999996,0.37,0.433,0.731,0.37,0.5670000000000001,2016-17,Nevada
Leland King II,100,0.48700000000000004,0.46,0.36,0.722,0.615,0.37,0.297,0.182,0.27,0.222,0.833,0.27,0.667,2016-17,Nevada
Josh Hall,90,0.515,0.489,0.35600000000000004,0.531,0.41200000000000003,0.35600000000000004,0.375,0.75,0.289,0.385,1,0.3,0.667,2016-17,Nevada
Elijah Foster,52,0.6619999999999999,0.615,0.5,0.654,0.765,0.5,0.5770000000000001,0.867,0,NA,NA,0.462,0.833,2016-17,Nevada
Devearl Ramsey,28.000000000000004,0.301,0.214,0.25,0.28600000000000003,0,0.28600000000000003,0.125,0,0.46399999999999997,0.154,1,0.39299999999999996,0.727,2016-17,Nevada
Charlie Tooley,4,1.125,1.125,0,NA,NA,0,NA,NA,1,0.75,1,0,NA,2016-17,Nevada
Collin Weaver,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2016-17,Nevada
John Carlson,1,0.14800000000000002,0,1,0,NA,0,NA,NA,0,NA,NA,5,0.2,2016-17,Nevada
Total,2082,0.561,0.525,0.267,0.618,0.5479999999999999,0.331,0.391,0.419,0.402,0.382,0.8029999999999999,0.413,0.705,2016-17,Nevada
