name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tanner Leissner,394,0.5660000000000001,0.496,0.348,0.693,0.389,0.467,0.375,0.435,0.185,0.28800000000000003,1,0.47700000000000004,0.83,2016-17
Jaleen Smith,384,0.5690000000000001,0.529,0.38799999999999996,0.5770000000000001,0.128,0.263,0.446,0.022000000000000002,0.349,0.358,0.583,0.33299999999999996,0.7809999999999999,2016-17
Daniel Dion,309,0.611,0.579,0.094,0.586,0.47100000000000003,0.18100000000000002,0.375,0.14300000000000002,0.725,0.42,0.809,0.314,0.784,2016-17
Iba Camara,211,0.551,0.564,0.773,0.613,0.61,0.22699999999999998,0.396,0.368,0,NA,NA,0.521,0.473,2016-17
Jordan Reed,177,0.453,0.429,0.175,0.355,0.182,0.062,0.182,0,0.763,0.311,0.8809999999999999,0.16399999999999998,0.7240000000000001,2016-17
David Watkins,101,0.536,0.52,0.11900000000000001,0.583,0.5710000000000001,0.17800000000000002,0.444,0.5,0.703,0.35200000000000004,1,0.228,0.652,2016-17
Kijana Love,63,0.492,0.46,0.14300000000000002,0.444,0.5,0.47600000000000003,0.33299999999999996,0.2,0.381,0.41700000000000004,1,0.20600000000000002,0.769,2016-17
Keon Burns,55.00000000000001,0.392,0.373,0.109,0.5,0.33299999999999996,0.2,0.364,0.5,0.691,0.237,0.889,0.091,0.8,2016-17
John Ogwuche,54,0.45799999999999996,0.39799999999999996,0.315,0.41200000000000003,0.28600000000000003,0.16699999999999998,0.444,0,0.519,0.25,1,0.40700000000000003,0.727,2016-17
Luke Rosinski,32,0.411,0.406,0.625,0.4,0.5,0.375,0.41700000000000004,0.6,0,NA,NA,0.375,0.41700000000000004,2016-17
Ken Uhlar,7.000000000000001,0.268,0.28600000000000003,0.7140000000000001,0.4,0.5,0.28600000000000003,0,NA,0,NA,NA,0.14300000000000002,0,2016-17
"DUNCAN,ERNIE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17
Total,1787,0.546,0.51,0.32299999999999995,0.588,0.391,0.27,0.38799999999999996,0.278,0.40700000000000003,0.35200000000000004,0.828,0.35100000000000003,0.725,2016-17
