name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Justin Jackson,596,0.555,0.531,0.221,0.667,0.58,0.302,0.39399999999999996,0.33799999999999997,0.47700000000000004,0.37,0.867,0.22,0.748,2016-17,NorthCarolina
Joel Berry II,426.99999999999994,0.5670000000000001,0.529,0.23199999999999998,0.586,0.19,0.23,0.36700000000000005,0.083,0.539,0.38299999999999995,0.773,0.321,0.774,2016-17,NorthCarolina
Kennedy Meeks,371,0.5710000000000001,0.555,0.523,0.722,0.55,0.47700000000000004,0.373,0.561,0,NA,NA,0.385,0.622,2016-17,NorthCarolina
Isaiah Hicks,302,0.622,0.5760000000000001,0.5,0.755,0.7020000000000001,0.5,0.397,0.5670000000000001,0,NA,NA,0.48,0.779,2016-17,NorthCarolina
Nate Britt,181,0.45599999999999996,0.425,0.243,0.545,0.125,0.326,0.237,0.5,0.431,0.33299999999999996,0.9229999999999999,0.204,0.73,2016-17,NorthCarolina
Tony Bradley,178,0.59,0.573,0.556,0.7879999999999999,0.731,0.444,0.304,0.583,0,NA,NA,0.59,0.619,2016-17,NorthCarolina
Luke Maye,163,0.536,0.528,0.264,0.6509999999999999,0.679,0.491,0.425,0.706,0.245,0.4,1,0.233,0.579,2016-17,NorthCarolina
Kenny Williams,139,0.529,0.514,0.21600000000000003,0.833,0.48,0.209,0.207,0.16699999999999998,0.5760000000000001,0.33799999999999997,1,0.21600000000000003,0.633,2016-17,NorthCarolina
Theo Pinson,112.99999999999999,0.4730000000000001,0.42,0.319,0.639,0.348,0.345,0.282,0.273,0.336,0.237,1,0.41600000000000004,0.7020000000000001,2016-17,NorthCarolina
Brandon Robinson,64,0.449,0.39799999999999996,0.21899999999999997,0.5710000000000001,0.5,0.312,0.35,0.28600000000000003,0.469,0.233,0.7140000000000001,0.42200000000000004,0.667,2016-17,NorthCarolina
Seventh Woods,60,0.384,0.3,0.41700000000000004,0.48,0.16699999999999998,0.4,0.125,0,0.183,0.182,1.5,0.6829999999999999,0.61,2016-17,NorthCarolina
Stilman White,20,0.6649999999999999,0.55,0.25,0.4,0.5,0.55,0.545,0.16699999999999998,0.2,0.5,1,0.9,0.889,2016-17,NorthCarolina
Shea Rush,14.000000000000002,0.381,0.321,0.214,0.33299999999999996,0,0.5710000000000001,0.25,0,0.214,0.33299999999999996,1,0.857,0.5,2016-17,NorthCarolina
Kanler Coker,4,0.706,0.5,0.5,1,0,0.5,0,NA,0,NA,NA,1.25,1,2016-17,NorthCarolina
Aaron Rohlman,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2016-17,NorthCarolina
Total,2633,0.55,0.519,0.33299999999999996,0.688,0.539,0.364,0.355,0.441,0.303,0.355,0.8690000000000001,0.348,0.701,2016-17,NorthCarolina
