name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Brandan Stith,24,0.23399999999999999,0.203,0.636,0.019,0.065,1,2016-17
Denzell Taylor,23,0.33299999999999996,0.31,0.591,0.077,0,0,2016-17
Trey Porter,20,0.24,0.25,0.667,0.027000000000000003,0.036000000000000004,0.5,2016-17
Zoran Talley,12,0.07200000000000001,0.062,0.5,0.031,0,0,2016-17
B.J. Stith,7,0.096,0.094,0.6,0.011000000000000001,0.016,0.5,2016-17
Aaron Carver,7,0.556,0.33299999999999996,0.4,0.091,0,0,2016-17
Randy Haynes,4,0.2,0.444,1,0,0,NA,2016-17
Ahmad Caver,3,0.023,0,0,0.011000000000000001,0,0,2016-17
Alassane Kah,2,0.2,0.25,1,0.16699999999999998,0.25,1,2016-17
Jordan Baker,2,0,0,NA,0.1,0,0,2016-17
Stephen Vassor,1,0.16699999999999998,0.2,1,NA,NA,NA,2016-17
Total,105,0.168,0.16899999999999998,0.616,0.023,0.019,0.278,2016-17
