name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Michael Young,19,0.124,0.14800000000000002,0.765,0.009000000000000001,0,0,2016-17
Sheldon Jeter,17,0.203,0.11900000000000001,0.33299999999999996,0.027999999999999997,0.042,0.5,2016-17
Jamel Artis,17,0.115,0.16699999999999998,0.9,0.051,0.028999999999999998,0.28600000000000003,2016-17
Rozelle Nix,7,0.35700000000000004,0.429,0.6,0.2,1,1,2016-17
Ryan Luther,6,0.11900000000000001,0.133,0.8,0.071,0,0,2016-17
Cameron Johnson,5,0.069,0.10300000000000001,1,0.026000000000000002,0,0,2016-17
Chris Jones,3,0.037000000000000005,0.061,1,0,0,NA,2016-17
Corey Manigault,3,0.16699999999999998,0.25,1,0.182,0,0,2016-17
Jonathan Milligan,1,0,NA,NA,0.091,0,0,2016-17
Total,78,0.11199999999999999,0.128,0.7,0.032,0.023,0.278,2016-17
