name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Devin Cannady,296,0.602,0.552,0.149,0.47700000000000004,0.23800000000000002,0.182,0.389,0.19,0.669,0.409,0.877,0.27399999999999997,0.938,2016-17,Princeton
Steven Cook,294,0.593,0.575,0.469,0.594,0.415,0.11599999999999999,0.265,0.222,0.415,0.426,0.9229999999999999,0.354,0.6629999999999999,2016-17,Princeton
Spencer Weisz,288,0.512,0.495,0.278,0.475,0.237,0.122,0.371,0.231,0.601,0.353,0.8690000000000001,0.16,0.696,2016-17,Princeton
Myles Stephens,285,0.586,0.5720000000000001,0.428,0.6559999999999999,0.36200000000000004,0.27,0.41600000000000004,0.21899999999999997,0.302,0.395,0.971,0.26,0.662,2016-17,Princeton
Amir Bell,165,0.539,0.515,0.297,0.653,0.031,0.303,0.34,0.11800000000000001,0.4,0.364,0.792,0.23600000000000002,0.718,2016-17,Princeton
Will Gladson,74,0.42300000000000004,0.39899999999999997,0.257,0.579,0.455,0.21600000000000003,0.312,0.6,0.527,0.231,0.889,0.149,0.727,2016-17,Princeton
Pete Miller,65,0.59,0.562,0.723,0.574,0.556,0.262,0.47100000000000003,0.375,0.015,1,1,0.33799999999999997,0.727,2016-17,Princeton
Henry Caruso,63,0.5730000000000001,0.556,0.397,0.6,0.467,0.317,0.55,0.182,0.28600000000000003,0.33299999999999996,1,0.111,0.857,2016-17,Princeton
Alec Brennan,44,0.613,0.602,0.5,0.545,0.667,0.114,0.8,0.5,0.386,0.41200000000000003,1,0.159,0.7140000000000001,2016-17,Princeton
Aaron Young,34,0.556,0.529,0.028999999999999998,0,NA,0.028999999999999998,0,NA,0.941,0.375,1,0.17600000000000002,0.833,2016-17,Princeton
Hans Brase,22,0.656,0.614,0.318,0.7140000000000001,0.2,0.22699999999999998,0.2,1,0.455,0.5,1,0.22699999999999998,1,2016-17,Princeton
Jose Morales,19,0.441,0.42100000000000004,0.316,0.5,1,0.474,0.556,0.2,0.21100000000000002,0,NA,0.158,0.667,2016-17,Princeton
Richmond Aririguzoh,17,0.447,0.41200000000000003,0.765,0.462,0.667,0.235,0.25,0,0,NA,NA,0.529,0.556,2016-17,Princeton
Mike LeBlanc,15,0.43900000000000006,0.433,0.267,0.5,1,0,NA,NA,0.733,0.273,1,0.133,0.5,2016-17,Princeton
Vittorio Reynoso-Avila,8,0.625,0.625,1,0.625,0.4,0,NA,NA,0,NA,NA,0,NA,2016-17,Princeton
Alexander Lee,7.000000000000001,0.42900000000000005,0.429,0.7140000000000001,0.6,0.667,0.28600000000000003,0,NA,0,NA,NA,0,NA,2016-17,Princeton
Jackson Forbes,6,0.5,0.5,0.5,1,0.33299999999999996,0,NA,NA,0.5,0,NA,0,NA,2016-17,Princeton
Noah Bramlage,5,0.7,0.7,0.6,0.667,1,0,NA,NA,0.4,0.5,1,0,NA,2016-17,Princeton
Khyan Rayner,5,0.6,0.6,0,NA,NA,0.2,0,NA,0.8,0.5,1,0,NA,2016-17,Princeton
Elias Berbari,4,0,0,0,NA,NA,0.25,0,NA,0.75,0,NA,0,NA,2016-17,Princeton
"COHEN,JORDAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17,Princeton
Total,1716,0.562,0.537,0.34700000000000003,0.5820000000000001,0.375,0.193,0.384,0.23600000000000002,0.46,0.37799999999999995,0.903,0.242,0.738,2016-17,Princeton
