name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Semi Ojeleye,430.99999999999994,0.621,0.5720000000000001,0.325,0.629,0.591,0.276,0.41200000000000003,0.51,0.39899999999999997,0.424,0.863,0.508,0.785,2016-17,SMU
Sterling Brown,351,0.583,0.546,0.256,0.544,0.265,0.35600000000000004,0.408,0.353,0.387,0.449,0.754,0.313,0.7909999999999999,2016-17,SMU
Shake Milton,348,0.582,0.555,0.17800000000000002,0.565,0.257,0.264,0.38,0.34299999999999997,0.557,0.423,0.915,0.261,0.758,2016-17,SMU
Ben Moore,284,0.5790000000000001,0.562,0.542,0.701,0.565,0.44,0.4,0.74,0.018000000000000002,0.2,1,0.451,0.625,2016-17,SMU
Jarrey Foster,244,0.6,0.598,0.52,0.654,0.602,0.184,0.33299999999999996,0.2,0.295,0.444,0.938,0.311,0.579,2016-17,SMU
Ben Emelogu II,165,0.42300000000000004,0.41200000000000003,0.261,0.442,0.632,0.2,0.303,0.3,0.539,0.292,0.9620000000000001,0.158,0.5379999999999999,2016-17,SMU
Harry Froling,37,0.515,0.527,0.37799999999999995,0.5,1,0.35100000000000003,0.615,0.625,0.27,0.3,1,0.27,0.4,2016-17,SMU
Dashawn McDowell,32,0.459,0.469,0.75,0.41700000000000004,0.7,0.125,0.5,0,0.125,0.5,1,0.9059999999999999,0.414,2016-17,SMU
Tom Wilson,15,0.4730000000000001,0.5,0,NA,NA,0.067,0,NA,0.9329999999999999,0.35700000000000004,1,0.267,0.25,2016-17,SMU
Jonathan Wilfong,13,0.308,0.308,0.231,0.667,0.5,0.385,0.4,0,0.385,0,NA,0,NA,2016-17,SMU
Leo Kontopoulos,10,0.33599999999999997,0.3,0.2,0,NA,0.7,0.429,0,0.1,0,NA,0.4,0.5,2016-17,SMU
James Pyle,6,0.583,0.583,0.33299999999999996,1,0.5,0.16699999999999998,0,NA,0.5,0.33299999999999996,1,0,NA,2016-17,SMU
Total,1936,0.5730000000000001,0.546,0.341,0.61,0.529,0.294,0.395,0.45799999999999996,0.364,0.406,0.878,0.36,0.696,2016-17,SMU
