name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Trey Kell,378,0.479,0.42100000000000004,0.222,0.583,0.204,0.402,0.349,0.094,0.376,0.268,0.605,0.376,0.768,2016-17,SanDiegoSt.
Jeremy Hemsley,347,0.509,0.48700000000000004,0.314,0.532,0.19,0.259,0.33299999999999996,0.1,0.42700000000000005,0.365,0.685,0.28,0.639,2016-17,SanDiegoSt.
Malik Pope,211,0.536,0.502,0.18,0.737,0.35700000000000004,0.578,0.39299999999999996,0.396,0.242,0.392,0.95,0.35100000000000003,0.703,2016-17,SanDiegoSt.
Max Hoetzel,187,0.536,0.503,0.128,0.583,0.35700000000000004,0.07,0.154,0,0.802,0.34700000000000003,0.9229999999999999,0.225,0.81,2016-17,SanDiegoSt.
Dakarai Allen,186,0.5750000000000001,0.551,0.409,0.684,0.48100000000000004,0.344,0.484,0.258,0.247,0.28300000000000003,0.9229999999999999,0.452,0.655,2016-17,SanDiegoSt.
Zylan Cheatham,177,0.593,0.531,0.65,0.643,0.365,0.282,0.34,0.235,0.068,0.16699999999999998,1,0.6609999999999999,0.752,2016-17,SanDiegoSt.
Matt Shrigley,149,0.47800000000000004,0.466,0.02,0.667,0,0.094,0.214,0,0.8859999999999999,0.326,0.907,0.128,0.632,2016-17,SanDiegoSt.
Montaque Gill-Caesar,100,0.372,0.305,0.24,0.625,0.33299999999999996,0.4,0.2,0.375,0.36,0.139,1,0.33,0.758,2016-17,SanDiegoSt.
Valentine Izundu,52,0.5740000000000001,0.615,0.846,0.705,0.581,0.154,0.125,0,0,NA,NA,0.5770000000000001,0.4,2016-17,SanDiegoSt.
D'Erryl Williams,45,0.4280000000000001,0.41100000000000003,0.4,0.5,0.33299999999999996,0.4,0.278,0,0.2,0.33299999999999996,1,0.244,0.545,2016-17,SanDiegoSt.
Nolan Narain,14.000000000000002,0.393,0.39299999999999996,0.28600000000000003,0.75,0.33299999999999996,0.5,0.14300000000000002,1,0.214,0.33299999999999996,1,0,NA,2016-17,SanDiegoSt.
Emmanuel Wilson,3,0.127,0,0,NA,NA,0,NA,NA,1,0,NA,0.667,0.5,2016-17,SanDiegoSt.
Total,1848.9999999999998,0.514,0.47600000000000003,0.292,0.622,0.34299999999999997,0.313,0.344,0.21600000000000003,0.396,0.316,0.818,0.35200000000000004,0.7,2016-17,SanDiegoSt.
