name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Eric Eaves,377,0.55,0.511,0.451,0.5760000000000001,0.235,0.26,0.429,0.23800000000000002,0.289,0.321,0.429,0.47700000000000004,0.6890000000000001,2016-17,SouthCarolinaSt.
Tashombe Riley,303,0.534,0.512,0.386,0.7090000000000001,0.6629999999999999,0.528,0.375,0.55,0.086,0.308,0.75,0.185,0.75,2016-17,SouthCarolinaSt.
Greg Mortimer,277,0.524,0.489,0.466,0.512,0.364,0.23800000000000002,0.439,0.379,0.29600000000000004,0.32899999999999996,0.815,0.332,0.7070000000000001,2016-17,SouthCarolinaSt.
Edward Stephens,266,0.518,0.502,0.18,0.41700000000000004,0.5,0.12,0.406,0.077,0.6990000000000001,0.36,0.821,0.124,0.758,2016-17,SouthCarolinaSt.
Jj Jam Richardson,243.00000000000003,0.468,0.455,0.28800000000000003,0.529,0.37799999999999995,0.292,0.38,0.14800000000000002,0.42,0.304,0.8390000000000001,0.16,0.615,2016-17,SouthCarolinaSt.
Ian Kinard,107,0.4750000000000001,0.40700000000000003,0.514,0.545,0.467,0.402,0.27899999999999997,0.33299999999999996,0.084,0.111,1,0.607,0.677,2016-17,SouthCarolinaSt.
Raynor Janai Powell,83,0.47800000000000004,0.452,0.253,0.429,0.111,0.301,0.48,0.083,0.446,0.297,0.727,0.22899999999999998,0.684,2016-17,SouthCarolinaSt.
Damani Applewhite,72,0.49100000000000005,0.45799999999999996,0.45799999999999996,0.6970000000000001,0.435,0.5,0.278,0.6,0.042,0,NA,0.486,0.6,2016-17,SouthCarolinaSt.
Ozante Fields,49,0.504,0.469,0.7959999999999999,0.59,0.609,0.204,0,NA,0,NA,NA,0.327,0.688,2016-17,SouthCarolinaSt.
Tyvoris Soloman,23,0.28,0.196,0.174,0.5,0.5,0.261,0.16699999999999998,0,0.565,0.077,1,0.348,0.75,2016-17,SouthCarolinaSt.
David Bottenberg,20,0.386,0.35,0.5,0.5,0.6,0.5,0.2,1,0,NA,NA,0.35,0.5710000000000001,2016-17,SouthCarolinaSt.
"TY,SOLOMON",9,0.591,0.556,0.111,1,1,0.444,0.25,0,0.444,0.5,1,0.667,0.667,2016-17,SouthCarolinaSt.
Bobby Williams,8,0.25,0.25,0.5,0.5,1,0.125,0,NA,0.375,0,NA,0,NA,2016-17,SouthCarolinaSt.
Tarik Clement,4,0.254,0,0.5,0,NA,0.5,0,NA,0,NA,NA,1,0.75,2016-17,SouthCarolinaSt.
Lbearnest Jones,4,0.6779999999999999,0.5,0.5,1,0.5,0.25,0,NA,0.25,0,NA,1,1,2016-17,SouthCarolinaSt.
JANAI,3,0.8330000000000001,0.833,0.33299999999999996,1,1,0,NA,NA,0.667,0.5,1,0,NA,2016-17,SouthCarolinaSt.
Jaylen Reid,2,0.5,0.5,0,NA,NA,1,0.5,1,0,NA,NA,0,NA,2016-17,SouthCarolinaSt.
"FITZNER,EVAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17,SouthCarolinaSt.
"HALL,COREY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17,SouthCarolinaSt.
"RAYSOR,DANA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17,SouthCarolinaSt.
"STANLEY,DAVIS",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17,SouthCarolinaSt.
Total,1850,0.511,0.48,0.382,0.569,0.433,0.306,0.37,0.348,0.312,0.319,0.745,0.305,0.691,2016-17,SouthCarolinaSt.
