name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Davon Hayes,332,0.514,0.47700000000000004,0.223,0.581,0.5579999999999999,0.316,0.314,0.364,0.461,0.359,0.8909999999999999,0.28,0.753,2016-17
Marlain Veal,325,0.59,0.5479999999999999,0.35100000000000003,0.596,0.17600000000000002,0.295,0.42700000000000005,0.171,0.354,0.4,0.7170000000000001,0.43700000000000006,0.754,2016-17
Moses Greenwood,266,0.5760000000000001,0.556,0.368,0.6729999999999999,0.773,0.628,0.491,0.659,0.004,0,NA,0.38,0.653,2016-17
Eddy Polanco,229.99999999999997,0.545,0.496,0.226,0.5770000000000001,0.2,0.261,0.3,0.16699999999999998,0.513,0.373,0.955,0.40399999999999997,0.763,2016-17
Jab Singleton,140,0.451,0.425,0.15,0.28600000000000003,0.16699999999999998,0.2,0.25,0.14300000000000002,0.65,0.341,0.871,0.22899999999999998,0.6559999999999999,2016-17
James Currington,139,0.6,0.59,0.331,0.7609999999999999,0.5429999999999999,0.662,0.511,0.617,0.006999999999999999,0,NA,0.317,0.636,2016-17
Dimi Cook,101,0.534,0.46,0.475,0.5,0.375,0.23800000000000002,0.375,0,0.287,0.31,0.778,0.703,0.718,2016-17
Dominic Nelson,97,0.47800000000000004,0.485,0.536,0.5,0.615,0.46399999999999997,0.467,0.429,0,NA,NA,0.598,0.431,2016-17
George Brock,46,0.314,0.304,0.174,0.25,0.5,0.304,0.214,0.33299999999999996,0.522,0.25,0.5,0.152,0.429,2016-17
Chris Mejia,38,0.5660000000000001,0.5660000000000001,0.026000000000000002,1,0,0.079,0.33299999999999996,1,0.895,0.382,1,0,NA,2016-17
Michael Corchiani,33,0.536,0.515,0.212,0.28600000000000003,0.5,0.03,0,NA,0.758,0.4,1,0.515,0.588,2016-17
Jordan Capps,23,0.708,0.7609999999999999,0.652,0.733,0.818,0.261,0.833,0.4,0.087,0.5,1,0.7390000000000001,0.529,2016-17
"SHEPERD,EMANUEL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-17
Total,1770,0.542,0.51,0.303,0.586,0.475,0.36200000000000004,0.41700000000000004,0.446,0.335,0.363,0.86,0.381,0.6829999999999999,2016-17
