name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kyle Kuzma,361,0.5650000000000001,0.542,0.49,0.672,0.387,0.27699999999999997,0.36,0.41700000000000004,0.233,0.321,0.963,0.35200000000000004,0.669,2016-17,Utah
Lorenzo Bonam,250.99999999999997,0.6659999999999999,0.633,0.522,0.779,0.235,0.131,0.364,0.16699999999999998,0.34700000000000003,0.345,0.667,0.418,0.79,2016-17,Utah
David Collette,208,0.61,0.601,0.6679999999999999,0.669,0.677,0.317,0.439,0.207,0.013999999999999999,0.667,0.5,0.385,0.625,2016-17,Utah
Devon Daniels,198,0.626,0.606,0.505,0.72,0.45799999999999996,0.318,0.429,0,0.177,0.4,0.643,0.32299999999999995,0.7190000000000001,2016-17,Utah
Jojo Zamora,176,0.5730000000000001,0.545,0.278,0.6729999999999999,0.545,0.21600000000000003,0.395,0.067,0.506,0.36,0.9690000000000001,0.21,0.8109999999999999,2016-17,Utah
Sedrick Barefield,168,0.551,0.515,0.304,0.49,0.2,0.196,0.364,0,0.5,0.39299999999999996,0.848,0.33899999999999997,0.737,2016-17,Utah
Tyler Rawson,146,0.546,0.51,0.37,0.63,0.647,0.192,0.429,0.33299999999999996,0.43799999999999994,0.297,0.9470000000000001,0.43200000000000005,0.6829999999999999,2016-17,Utah
VAN,136,0.506,0.507,0.19899999999999998,0.7040000000000001,0.684,0.16899999999999998,0.217,0,0.632,0.349,0.9329999999999999,0.096,0.462,2016-17,Utah
Jayce Johnson,92,0.542,0.565,0.7609999999999999,0.657,0.5,0.239,0.273,0.5,0,NA,NA,0.5760000000000001,0.434,2016-17,Utah
Gabe Bealer,84,0.5690000000000001,0.5539999999999999,0.262,0.545,0.33299999999999996,0.071,0.5,0.33299999999999996,0.667,0.375,0.9520000000000001,0.14300000000000002,0.75,2016-17,Utah
Jake Connor,19,0.642,0.6579999999999999,0.105,1,1,0,NA,NA,0.895,0.41200000000000003,1,0.053,0,2016-17,Utah
Beau Rydalch,7.000000000000001,0.252,0.14300000000000002,0.28600000000000003,0.5,0,0.14300000000000002,0,NA,0.5710000000000001,0,NA,0.28600000000000003,1,2016-17,Utah
Jakub Jokl,7.000000000000001,0.602,0.5710000000000001,0.7140000000000001,0.4,1,0.28600000000000003,1,0.5,0,NA,NA,1.143,0.625,2016-17,Utah
Marc Reininger,4,0.5,0.5,1,0.5,0,0,NA,NA,0,NA,NA,0,NA,2016-17,Utah
Total,1857,0.583,0.562,0.449,0.675,0.45399999999999996,0.223,0.38299999999999995,0.20800000000000002,0.32799999999999996,0.353,0.8740000000000001,0.335,0.682,2016-17,Utah
