name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
QJ Peterson,19,0.092,0.077,0.5,0.057,0.023,0.14300000000000002,2016-17,VMI
Trey Chapman,19,0.21,0.20800000000000002,0.647,0.011000000000000001,0,0,2016-17,VMI
Armani Branch,14,0.16699999999999998,0.163,0.615,0,0,NA,2016-17,VMI
Will Miller,6,0.22699999999999998,0.278,1,0.045,0,0,2016-17,VMI
Garrett Gilkeson,5,0.25,0.2,0.33299999999999996,0.111,0,0,2016-17,VMI
Austin Vereen,4,0.5710000000000001,0.33299999999999996,0.25,0,0,NA,2016-17,VMI
Tyler Creammer,3,0.14300000000000002,0,0,0.045,0,0,2016-17,VMI
Julian Eleby,2,0,0,NA,0.019,0,0,2016-17,VMI
Fred Iruafemi,2,0.133,0.083,0.5,0,0,NA,2016-17,VMI
Keith Smith,2,0.045,0.091,1,0.028999999999999998,0,0,2016-17,VMI
Adrian Rich,1,0.021,0,0,0,0,NA,2016-17,VMI
Total,77,0.122,0.114,0.5670000000000001,0.027999999999999997,0.005,0.071,2016-17,VMI
