name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Nathan Adrian,28,0.21,0.171,0.48,0.045,0.087,0.667,2016-17,WestVirginia
Elijah Macon,27,0.297,0.3,0.682,0.059000000000000004,0.079,0.6,2016-17,WestVirginia
Sagaba Konate,25,0.28800000000000003,0.26,0.619,0.10800000000000001,0.25,0.75,2016-17,WestVirginia
Esa Ahmad,25,0.165,0.14800000000000002,0.545,0.031,0.061,0.667,2016-17,WestVirginia
Brandon Watkins,21,0.316,0.225,0.5,0.055,0.042,0.33299999999999996,2016-17,WestVirginia
Miles Daxter,18,0.221,0.231,0.706,0.025,0,0,2016-17,WestVirginia
Tarik Phillip,15,0.128,0.111,0.41700000000000004,0.037000000000000005,0.069,0.667,2016-17,WestVirginia
Lamont West,10,0.233,0.115,0.3,0,0,NA,2016-17,WestVirginia
Maciej Bender,7,0.273,0.2,0.33299999999999996,0.1,0,0,2016-17,WestVirginia
Teyvon Myers,7,0.079,0.08900000000000001,0.667,0.013999999999999999,0,0,2016-17,WestVirginia
Jevon Carter,6,0.02,0.019,0.5,0.032,0.048,0.667,2016-17,WestVirginia
Logan Routt,2,0.5,0.5,1,0,NA,NA,2016-17,WestVirginia
James Bolden,2,0.111,0.14300000000000002,1,0.091,0,0,2016-17,WestVirginia
Total,193,0.184,0.16899999999999998,0.555,0.040999999999999995,0.061,0.536,2016-17,WestVirginia
