name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Keon Johnson,511.00000000000006,0.591,0.532,0.209,0.542,0.069,0.292,0.409,0.098,0.499,0.4,0.5489999999999999,0.386,0.868,2016-17
Xavier Cooks,401.99999999999994,0.5670000000000001,0.535,0.306,0.659,0.309,0.423,0.45299999999999996,0.13,0.271,0.349,0.816,0.40299999999999997,0.698,2016-17
Roderick Perkins,202,0.5660000000000001,0.5589999999999999,0.203,0.634,0.154,0.129,0.34600000000000003,0.111,0.6679999999999999,0.385,0.9420000000000001,0.223,0.6,2016-17
Anders Broman,200,0.612,0.59,0.09,0.611,0.455,0.175,0.4,0.214,0.735,0.42200000000000004,0.9840000000000001,0.175,0.8290000000000001,2016-17
Bjorn Broman,156,0.524,0.503,0.051,0.375,0.33299999999999996,0.122,0.42100000000000004,0,0.8270000000000001,0.349,0.8,0.17300000000000001,0.741,2016-17
Josh Davenport,134,0.519,0.43700000000000006,0.373,0.6,0.33299999999999996,0.552,0.365,0.33299999999999996,0.075,0.1,1,0.664,0.742,2016-17
Tevin Prescott,120,0.588,0.575,0.5579999999999999,0.672,0.7559999999999999,0.433,0.462,0.41700000000000004,0.008,0,NA,0.358,0.628,2016-17
Duby Okeke,74,0.522,0.608,0.77,0.737,0.7140000000000001,0.23,0.17600000000000002,0.33299999999999996,0,NA,NA,0.757,0.268,2016-17
Adam Pickett,67,0.5710000000000001,0.515,0.537,0.611,0.182,0.16399999999999998,0.455,0.2,0.299,0.25,0.8,0.537,0.75,2016-17
Josh Ferguson,59,0.543,0.483,0.45799999999999996,0.667,0.722,0.203,0.25,0.33299999999999996,0.33899999999999997,0.25,1,0.45799999999999996,0.778,2016-17
Freddy Poole,12,0.42500000000000004,0.375,0.16699999999999998,0.5,1,0.33299999999999996,0.5,0.5,0.5,0.16699999999999998,1,0.16699999999999998,1,2016-17
Kellen Blake,11,0.502,0.5,0.273,0.667,1,0.455,0.4,0,0.273,0.33299999999999996,1,0.182,0.5,2016-17
Mitch Hill,5,0.588,0.7,0.4,1,0.5,0,NA,NA,0.6,0.33299999999999996,1,0.4,0,2016-17
Patrick Fisher,2,1,1,1,1,0,0,NA,NA,0,NA,NA,0,NA,2016-17
Hunter Sadlon,2,0.169,0,0,NA,NA,0.5,0,NA,0.5,0,NA,1,0.5,2016-17
Total,1957,0.5680000000000001,0.535,0.27699999999999997,0.632,0.391,0.294,0.409,0.183,0.429,0.373,0.7859999999999999,0.37,0.7170000000000001,2016-17
