name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Isaac Johnson,21,0.19399999999999998,0.25,0.789,0.059000000000000004,0,0,2017-18
Tyrell Johnson,14,0.16399999999999998,0.222,0.833,0.051,0,0,2017-18
Craig Hinton,9,0.31,0.304,0.778,0,0,NA,2017-18
Ronshad Shabazz,7,0.012,0.026000000000000002,1,0.008,0.021,1,2017-18
Griffin Kinney,7,0.045,0.051,0.7140000000000001,0,0,NA,2017-18
Jake Wilson,2,0.125,0.222,1,0,0,NA,2017-18
Bennett Holley,2,0.33299999999999996,0.33299999999999996,1,0,NA,NA,2017-18
Hunter Seacat,1,0,0,NA,0.111,0,0,2017-18
Trey Ford,1,1,1,1,NA,NA,NA,2017-18
Zach Cottrell,1,0.25,0,0,0,0,NA,2017-18
Nick Hough,1,0.25,0.33299999999999996,1,NA,NA,NA,2017-18
Total,66,0.07400000000000001,0.10300000000000001,0.8,0.016,0.006999999999999999,0.16699999999999998,2017-18
