name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tayler Persons,405.99999999999994,0.529,0.507,0.256,0.5770000000000001,0.133,0.493,0.445,0.10099999999999999,0.251,0.373,0.42100000000000004,0.254,0.67,2017-18
Tahjai Teague,281,0.5680000000000001,0.5429999999999999,0.633,0.685,0.508,0.203,0.35100000000000003,0.3,0.16399999999999998,0.152,0.7140000000000001,0.441,0.653,2017-18
Trey Moses,235,0.585,0.57,0.715,0.643,0.63,0.281,0.39399999999999996,0.615,0.004,0,NA,0.66,0.6,2017-18
Sean Sellers,216,0.5740000000000001,0.5529999999999999,0.18100000000000002,0.718,0.5,0.111,0.25,0.16699999999999998,0.708,0.373,0.9470000000000001,0.153,0.818,2017-18
Kyle Mallers,215,0.596,0.535,0.391,0.619,0.48100000000000004,0.14,0.4,0.5,0.47,0.337,1,0.419,0.856,2017-18
Ishmael El-Amin,141,0.47200000000000003,0.433,0.284,0.475,0.316,0.319,0.33299999999999996,0.133,0.397,0.321,0.833,0.284,0.725,2017-18
Zach Gunn,110.00000000000001,0.505,0.46799999999999997,0.23600000000000002,0.5,0.462,0.109,0.33299999999999996,0.5,0.655,0.319,1,0.245,0.778,2017-18
Francis Kiapway,98,0.413,0.37200000000000005,0.031,0,NA,0.11199999999999999,0.182,0.5,0.857,0.27399999999999997,0.7390000000000001,0.184,0.833,2017-18
Jeremie Tyler,88,0.557,0.545,0.193,0.47100000000000003,0.625,0.25,0.318,0.5710000000000001,0.557,0.449,0.955,0.17,0.667,2017-18
Jontrell Walker,84,0.5710000000000001,0.53,0.226,0.42100000000000004,0.375,0.179,0.5329999999999999,0.375,0.595,0.38,0.789,0.31,0.8079999999999999,2017-18
Josh Thompson,20,0.545,0.45,0.35,0.429,0.33299999999999996,0,NA,NA,0.65,0.308,1,0.6,0.833,2017-18
Tyler Leedy,1,1,1,1,1,1,0,NA,NA,0,NA,NA,0,NA,2017-18
"ZABO,KEVIN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Total,1895,0.548,0.516,0.36200000000000004,0.615,0.47200000000000003,0.254,0.392,0.265,0.384,0.337,0.833,0.33899999999999997,0.705,2017-18
