name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Ky Bowman,520,0.534,0.5,0.317,0.5760000000000001,0.147,0.258,0.336,0.08900000000000001,0.425,0.36200000000000004,0.562,0.22899999999999998,0.807,2017-18
Jerome Robinson,513,0.608,0.564,0.292,0.64,0.365,0.324,0.434,0.389,0.384,0.41100000000000003,0.667,0.34299999999999997,0.83,2017-18
Jordan Chatman,337,0.585,0.545,0.154,0.519,0.519,0.196,0.39399999999999996,0.308,0.65,0.397,0.966,0.23399999999999999,0.899,2017-18
Nik Popovic,271,0.551,0.518,0.627,0.594,0.634,0.284,0.41600000000000004,0.531,0.08900000000000001,0.20800000000000002,1,0.34700000000000003,0.713,2017-18
Steffon Mitchell,175,0.49300000000000005,0.48,0.32,0.6609999999999999,0.486,0.223,0.359,0.5710000000000001,0.457,0.275,0.955,0.531,0.516,2017-18
Deontae Hawkins,86,0.529,0.5,0.209,0.722,0.154,0.523,0.4,0.222,0.267,0.348,0.875,0.18600000000000003,0.812,2017-18
Johncarlos Reyes,79,0.528,0.532,0.7090000000000001,0.607,0.735,0.29100000000000004,0.348,0.5,0,NA,NA,0.266,0.47600000000000003,2017-18
Baker Vin,49,0.411,0.38799999999999996,0.184,0.667,0.5,0.08199999999999999,1,0.25,0.735,0.16699999999999998,1,0.14300000000000002,0.7140000000000001,2017-18
Luka Kraljevic,42,0.42100000000000004,0.39299999999999996,0.23800000000000002,0.6,0.833,0.452,0.316,0.667,0.31,0.231,1,0.5710000000000001,0.5,2017-18
Avery Wilson,14.000000000000002,0.59,0.643,0.5710000000000001,0.5,0.25,0.214,0.667,0.5,0.214,0.667,0.5,0.5710000000000001,0.375,2017-18
Ervins Meznieks,9,0.528,0.444,0.222,0.5,0,0,NA,NA,0.778,0.28600000000000003,1,0.33299999999999996,1,2017-18
VIN,7.000000000000001,0.653,0.5710000000000001,0.429,0.33299999999999996,1,0,NA,NA,0.5710000000000001,0.5,1,0.429,1,2017-18
Gordon Gehan,3,0.633,0.667,0.667,1,1,0,NA,NA,0.33299999999999996,0,NA,0.667,0.5,2017-18
"SISTARE,IAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Mac Bohuny,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Total,2105,0.554,0.521,0.33299999999999996,0.603,0.435,0.27399999999999997,0.39399999999999996,0.348,0.39299999999999996,0.36,0.772,0.306,0.741,2017-18
