name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tavrion Dawson,441,0.504,0.473,0.324,0.643,0.478,0.43799999999999994,0.39399999999999996,0.25,0.23800000000000002,0.257,0.852,0.268,0.7120000000000001,2017-18
Terrell Gomez,276,0.581,0.556,0.21,0.466,0.222,0.27899999999999997,0.377,0.069,0.511,0.461,0.6,0.19899999999999998,0.8,2017-18
Micheal Warren,245.00000000000003,0.5730000000000001,0.52,0.302,0.608,0.42200000000000004,0.282,0.348,0.45799999999999996,0.41600000000000004,0.382,0.897,0.34700000000000003,0.847,2017-18
Lyrik Shreiner,218.00000000000003,0.535,0.491,0.408,0.596,0.226,0.33899999999999997,0.405,0.267,0.252,0.29100000000000004,0.5,0.33899999999999997,0.77,2017-18
Theus Reggie,198,0.4300000000000001,0.42200000000000004,0.39399999999999996,0.551,0.7909999999999999,0.556,0.3,0.667,0.051,0.5,1,0.19699999999999998,0.48700000000000004,2017-18
Jonathan Guevara,61,0.391,0.361,0.32799999999999996,0.4,0.125,0.344,0.23800000000000002,0,0.32799999999999996,0.3,1,0.41,0.52,2017-18
Jalon Pipkins,59,0.522,0.45799999999999996,0.305,0.5,0.33299999999999996,0.39,0.261,0.33299999999999996,0.305,0.444,1,0.322,0.895,2017-18
Carl Brown,57.99999999999999,0.526,0.5,0.19,0.636,0.14300000000000002,0.276,0.25,0.5,0.534,0.387,0.917,0.172,0.8,2017-18
Anthony Swan,49,0.42400000000000004,0.429,0.184,0.444,0.5,0.22399999999999998,0.455,0.8,0.5920000000000001,0.276,1,0.02,0,2017-18
Zeno Lake,44,0.524,0.523,0.614,0.48100000000000004,0.6920000000000001,0.386,0.588,0.6,0,NA,NA,0.682,0.5,2017-18
Mahamadou Kaba-Camara,26,0.5750000000000001,0.654,0.654,0.8240000000000001,0.7859999999999999,0.34600000000000003,0.33299999999999996,0,0,NA,NA,0.5,0.231,2017-18
Blair Orr,9,0.603,0.556,0.556,0.6,1,0.444,0.5,1,0,NA,NA,0.222,1,2017-18
Alex Sokol,4,0.101,0,0,NA,NA,0.25,0,NA,0.75,0,NA,0.5,0.5,2017-18
Total,1688,0.518,0.488,0.325,0.579,0.456,0.37,0.363,0.344,0.305,0.36200000000000004,0.769,0.28,0.708,2017-18
