name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Deionte Simmons,39,0.263,0.289,0.778,0.053,0.105,0.667,2017-18,ChicagoSt.
Jelani Pruitt,16,0.135,0.16399999999999998,0.6920000000000001,0.048,0.125,0.667,2017-18,ChicagoSt.
Fred Sims,15,0.105,0.161,0.5,0.024,0.019,0.25,2017-18,ChicagoSt.
Glen Burns,14,0.096,0.149,0.846,0.019,0,0,2017-18,ChicagoSt.
Cameron Bowles,10,0.179,0.242,0.8,0,0,NA,2017-18,ChicagoSt.
Anthony Harris,9,0.113,0.125,0.625,0.055999999999999994,0,0,2017-18,ChicagoSt.
Travon Bell,6,0.14300000000000002,0.16699999999999998,0.667,0.053,0.125,1,2017-18,ChicagoSt.
Jalen Stephens-Holmes,5,0.33299999999999996,0.444,0.8,0,NA,NA,2017-18,ChicagoSt.
Rob Shaw,5,0.051,0.049,0.5,0.013999999999999999,0.062,1,2017-18,ChicagoSt.
Patrick Szpir,4,0.08,0,0,0.091,0.1,0.5,2017-18,ChicagoSt.
Montana Byrd,2,0.053,0.083,1,0,0,NA,2017-18,ChicagoSt.
Ken Odiase,2,0.222,0,0,0,NA,NA,2017-18,ChicagoSt.
John Joyce,1,0.33299999999999996,0.5,1,0,NA,NA,2017-18,ChicagoSt.
Total,128,0.13699999999999998,0.17600000000000002,0.7040000000000001,0.027999999999999997,0.046,0.5,2017-18,ChicagoSt.
