name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Darrell Davis,345,0.593,0.539,0.214,0.649,0.312,0.23800000000000002,0.366,0.2,0.5479999999999999,0.381,0.6940000000000001,0.348,0.875,2017-18
Josh Cunningham,288,0.6729999999999999,0.66,0.528,0.8029999999999999,0.738,0.354,0.5489999999999999,0.536,0.11800000000000001,0.235,0.875,0.517,0.691,2017-18
Jalen Crutcher,243.00000000000003,0.535,0.519,0.185,0.6890000000000001,0.29,0.18100000000000002,0.386,0.059000000000000004,0.634,0.33799999999999997,0.8270000000000001,0.193,0.6809999999999999,2017-18
Trey Landers,216,0.648,0.627,0.537,0.75,0.609,0.213,0.435,0.45,0.25,0.35200000000000004,0.789,0.37,0.725,2017-18
Jordan Davis,208,0.5690000000000001,0.5579999999999999,0.139,0.586,0.47100000000000003,0.17800000000000002,0.405,0.267,0.6829999999999999,0.39399999999999996,0.982,0.111,0.7390000000000001,2017-18
Kostas Antetokounmpo,101,0.5750000000000001,0.584,0.574,0.741,0.721,0.27699999999999997,0.46399999999999997,0.615,0.149,0.133,1,0.634,0.516,2017-18
Xeyrius Williams,95,0.455,0.43700000000000006,0.126,0.833,0.3,0.221,0.28600000000000003,0.5,0.653,0.27399999999999997,0.941,0.084,0.875,2017-18
John Crosby,86,0.514,0.44799999999999995,0.233,0.55,0,0.40700000000000003,0.4,0.071,0.36,0.29,0.667,0.419,0.8059999999999999,2017-18
Matej Svoboda,76,0.396,0.38799999999999996,0.19699999999999998,0.667,0.8,0.21100000000000002,0.375,0.667,0.5920000000000001,0.2,1,0.026000000000000002,1,2017-18
Jack Westerfield,9,0.402,0.33299999999999996,0.222,0,NA,0,NA,NA,0.778,0.28600000000000003,0.5,0.222,1,2017-18
Joey Gruden,2,0.75,0.75,0,NA,NA,0,NA,NA,1,0.5,1,0,NA,2017-18
Dalton Stewart,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2017-18
Camron Greer,1,1.5,1.5,0,NA,NA,0,NA,NA,1,1,0,0,NA,2017-18
Total,1671,0.583,0.555,0.313,0.725,0.573,0.247,0.43,0.373,0.44,0.337,0.8270000000000001,0.318,0.731,2017-18
