name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Jessie Govan,41,0.259,0.22,0.5710000000000001,0.027999999999999997,0.053,0.833,2017-18
Marcus Derrickson,20,0.17,0.158,0.6,0.037000000000000005,0.065,0.75,2017-18
Kaleb Johnson,10,0.127,0.151,0.8,0,0,NA,2017-18
Antwan Walker,9,0.3,0.278,0.556,0,0,NA,2017-18
Jahvon Blair,5,0.16699999999999998,0.267,0.8,0,0,NA,2017-18
Jagan Mosely,3,0.033,0.028999999999999998,0.5,0.021,0,0,2017-18
Jamorko Pickett,3,0.091,0.05,0.33299999999999996,0,0,NA,2017-18
Trey Dickerson,2,0.038,0.067,1,0,0,NA,2017-18
Jonathan Mulmore,2,0.021,0,0,0,0,NA,2017-18
Chris Sodom,1,0,0,NA,0.5,0,0,2017-18
Total,96,0.147,0.147,0.61,0.02,0.034,0.667,2017-18
