name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Maurice Rivers,342,0.462,0.415,0.33299999999999996,0.41200000000000003,0.36200000000000004,0.526,0.41100000000000003,0.35100000000000003,0.14,0.292,1,0.365,0.696,2017-18
Paris Collins,299,0.4320000000000001,0.413,0.35100000000000003,0.495,0.192,0.23399999999999999,0.271,0.105,0.415,0.282,0.8290000000000001,0.187,0.607,2017-18
Jeremiah Jefferson,295,0.47000000000000003,0.45299999999999996,0.163,0.521,0.44,0.214,0.222,0.429,0.624,0.342,0.889,0.098,0.7929999999999999,2017-18
Darius Austin,187,0.45000000000000007,0.439,0.31,0.397,0.304,0.332,0.371,0.478,0.358,0.358,0.917,0.273,0.51,2017-18
Julian Daughtry,176,0.49899999999999994,0.457,0.295,0.385,0.2,0.22699999999999998,0.35,0.214,0.47700000000000004,0.369,0.71,0.35200000000000004,0.71,2017-18
Treshawn Bolden,142,0.44,0.423,0.387,0.527,0.138,0.43700000000000006,0.306,0.42100000000000004,0.17600000000000002,0.32,0.875,0.268,0.5529999999999999,2017-18
Chase Franklin,110.00000000000001,0.44400000000000006,0.4,0.273,0.4,0.16699999999999998,0.264,0.379,0.182,0.46399999999999997,0.275,0.5,0.309,0.706,2017-18
Lemmie Howard,95,0.511,0.505,0.2,0.632,0.16699999999999998,0.46299999999999997,0.47700000000000004,0.5710000000000001,0.337,0.312,0.8,0.105,0.6,2017-18
Jesse Love,69,0.49300000000000005,0.493,0.348,0.5,0.5,0.188,0.308,1,0.46399999999999997,0.375,1,0.217,0.467,2017-18
Jordan Berry,68,0.40800000000000003,0.397,0.08800000000000001,0.33299999999999996,0.5,0.132,0.111,0,0.779,0.302,0.875,0.059000000000000004,0.75,2017-18
Jeremiah Bozeman,54,0.558,0.47200000000000003,0.648,0.457,0.25,0.111,0.33299999999999996,0,0.24100000000000002,0.385,1,0.7959999999999999,0.7440000000000001,2017-18
Demetrice Clopton,34,0.413,0.382,0.765,0.423,0.182,0.235,0.25,0.5,0,NA,NA,0.294,0.6,2017-18
Charles Taylor,24,0.354,0.292,0.75,0.278,0.4,0.25,0.33299999999999996,0.5,0,NA,NA,0.25,0.833,2017-18
Payton Wilson,18,0.549,0.556,0.5,0.444,0.5,0.16699999999999998,0,NA,0.33299999999999996,0.667,1,0.556,0.5,2017-18
Dontelius Ross,7.000000000000001,0.449,0.429,0.14300000000000002,0,NA,0.14300000000000002,0,NA,0.7140000000000001,0.4,0.5,0.5710000000000001,0.5,2017-18
James Glenn,1,0,0,1,0,NA,0,NA,NA,0,NA,NA,0,NA,2017-18
"TOMAIC,JOSHUA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Total,1921,0.462,0.434,0.313,0.449,0.27399999999999997,0.31,0.34600000000000003,0.369,0.377,0.32899999999999996,0.845,0.259,0.654,2017-18
