name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Devonte' Graham,498.00000000000006,0.5680000000000001,0.51,0.233,0.44,0.039,0.223,0.342,0.053,0.544,0.406,0.6,0.406,0.8270000000000001,2017-18,Kansas
Sviatoslav Mykhailiuk,472,0.5720000000000001,0.556,0.26899999999999996,0.52,0.515,0.182,0.27899999999999997,0.083,0.5489999999999999,0.444,0.861,0.11900000000000001,0.804,2017-18,Kansas
Malik Newman,401.99999999999994,0.606,0.568,0.29100000000000004,0.598,0.257,0.19899999999999998,0.38799999999999996,0.161,0.51,0.415,0.812,0.28600000000000003,0.835,2017-18,Kansas
Lagerald Vick,383,0.5740000000000001,0.565,0.337,0.69,0.629,0.251,0.406,0.462,0.413,0.373,0.6779999999999999,0.14400000000000002,0.6729999999999999,2017-18,Kansas
Udoka Azubuike,274,0.717,0.77,0.7809999999999999,0.8220000000000001,0.722,0.21899999999999997,0.583,0.371,0,NA,NA,0.39799999999999996,0.413,2017-18,Kansas
Marcus Garrett,136,0.502,0.5,0.5,0.618,0.262,0.16899999999999998,0.348,0,0.331,0.267,0.917,0.375,0.49,2017-18,Kansas
Mitch Lightfoot,105,0.616,0.6,0.581,0.672,0.7559999999999999,0.257,0.48100000000000004,0.769,0.162,0.353,1,0.23800000000000002,0.72,2017-18,Kansas
Silvio DeSousa,47,0.693,0.6809999999999999,0.851,0.725,0.552,0.149,0.429,0.33299999999999996,0,NA,NA,0.447,0.7140000000000001,2017-18,Kansas
Sam Cunliffe,25,0.539,0.52,0.48,0.583,0.429,0.2,0.6,0,0.32,0.25,1,0.08,1,2017-18,Kansas
Chris Teahan,11,0.502,0.455,0,NA,NA,0.273,0.667,0,0.727,0.25,1,0.182,1,2017-18,Kansas
Clay Young,10,0.411,0.4,0.6,0.667,1,0.1,0,NA,0.3,0,NA,0.2,0.5,2017-18,Kansas
James Sosinski,3,1,1,0.667,1,0.5,0.33299999999999996,1,1,0,NA,NA,0,NA,2017-18,Kansas
Total,2366,0.594,0.575,0.377,0.647,0.525,0.21100000000000002,0.39399999999999996,0.264,0.41200000000000003,0.401,0.754,0.27,0.708,2017-18,Kansas
