name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Isaac Mbuyamba,18,0.327,0.259,0.41200000000000003,0.05,0.125,1,2017-18,KennesawSt.
Bryson Lockley,13,0.27899999999999997,0.32,0.667,0.032,0,0,2017-18,KennesawSt.
Anthony Wilson,12,0.231,0.188,0.5,0,0,NA,2017-18,KennesawSt.
Kosta Jankovic,8,0.128,0.16699999999999998,0.833,0.026000000000000002,0.067,1,2017-18,KennesawSt.
Jordan Jones,8,0.129,0.133,0.75,0,0,NA,2017-18,KennesawSt.
Kyle Clarke,4,0.083,0.069,0.5,0,0,NA,2017-18,KennesawSt.
Nick Masterson,4,0.04,0.048,1,0.013999999999999999,0.013999999999999999,0.5,2017-18,KennesawSt.
Tyler Hooker,3,0.028999999999999998,0.048,1,0,0,NA,2017-18,KennesawSt.
James Scott,1,0,0,NA,0.006,0.02,1,2017-18,KennesawSt.
Tristan Jarrett,1,0.059000000000000004,0,0,0,0,NA,2017-18,KennesawSt.
Total,72,0.109,0.105,0.594,0.009000000000000001,0.018000000000000002,0.7140000000000001,2017-18,KennesawSt.
