name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Paulius Zalys,12,0.079,0.10800000000000001,0.889,0.036000000000000004,0.045,0.5,2017-18
Matt Klinewski,8,0.053,0.068,0.833,0.017,0,0,2017-18
Myles Cherry,5,0.121,0.13,0.75,0.067,0.16699999999999998,1,2017-18
Dylan Hastings,3,0.3,0.4,0.667,0,0,NA,2017-18
Alex Petrie,3,0.034,0.028999999999999998,0.5,0,0,NA,2017-18
E.J. Stephens,3,0.065,0.083,1,0.016,0,0,2017-18
Eric Stafford,3,0,0,NA,0.047,0,0,2017-18
Kyle Stout,2,0.111,0.083,0.5,0,0,NA,2017-18
Lukas Jarrett,2,0.105,0.111,0.5,0,0,NA,2017-18
Justin Jaworski,2,0.032,0.028999999999999998,0.5,0,0,NA,2017-18
Total,43,0.062,0.075,0.75,0.016,0.01,0.25,2017-18
