name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Colton Weisbrod,371,0.526,0.485,0.623,0.537,0.371,0.259,0.302,0.207,0.11900000000000001,0.409,1,0.491,0.665,2017-18,LamarUniversity
Nick Garth,346,0.5700000000000001,0.527,0.165,0.579,0.33299999999999996,0.231,0.38799999999999996,0.161,0.604,0.37799999999999995,0.823,0.28600000000000003,0.838,2017-18,LamarUniversity
Josh Nzeakor,302,0.54,0.513,0.742,0.594,0.5710000000000001,0.255,0.28600000000000003,0.409,0.003,0,NA,0.556,0.607,2017-18,LamarUniversity
James Harrison,247.00000000000003,0.533,0.52,0.15,0.45899999999999996,0.353,0.182,0.511,0.13,0.6679999999999999,0.358,0.8809999999999999,0.085,0.81,2017-18,LamarUniversity
Zjori Bosha,245.00000000000003,0.522,0.506,0.376,0.5429999999999999,0.28,0.131,0.43799999999999994,0.35700000000000004,0.494,0.331,0.875,0.40399999999999997,0.5760000000000001,2017-18,LamarUniversity
Joey Frenchwood,209,0.479,0.45,0.172,0.47200000000000003,0,0.225,0.298,0.071,0.603,0.33299999999999996,0.738,0.249,0.6920000000000001,2017-18,LamarUniversity
Torey Noel,130,0.42100000000000004,0.377,0.462,0.467,0.25,0.115,0.4,0,0.423,0.182,0.9,0.33799999999999997,0.659,2017-18,LamarUniversity
Tyrin Atwood,78,0.55,0.526,0.551,0.581,0.48,0.33299999999999996,0.385,0.3,0.115,0.444,1,0.397,0.645,2017-18,LamarUniversity
Avery Sullivan,37,0.387,0.35100000000000003,0.703,0.34600000000000003,0.889,0.27,0.4,0.25,0.027000000000000003,0,NA,0.541,0.5,2017-18,LamarUniversity
Jordan Foster,25,0.718,0.84,0.96,0.875,0.524,0.04,0,NA,0,NA,NA,1.12,0.46399999999999997,2017-18,LamarUniversity
Da'Shawn Robinson,20,0.365,0.35,0.3,0.33299999999999996,0.5,0.1,1,0.5,0.6,0.16699999999999998,1,0.2,0.5,2017-18,LamarUniversity
Cannon Broussard,9,0.553,0.5,0.222,0,NA,0.111,0,NA,0.667,0.5,1,0.222,1,2017-18,LamarUniversity
"DURHAM,DAMIYNE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18,LamarUniversity
Total,2026.0000000000002,0.524,0.494,0.41600000000000004,0.546,0.42,0.214,0.36,0.22399999999999998,0.37,0.34299999999999997,0.852,0.374,0.657,2017-18,LamarUniversity
