name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Damarion Geter,17,0.147,0.129,0.562,0.021,0,0,2017-18
B.K. Ashe,15,0.081,0.1,0.583,0.03,0.031,0.33299999999999996,2017-18
Spencer Franklin,14,0.222,0.16699999999999998,0.429,0,0,NA,2017-18
Chris Shields,8,0.182,0.294,0.833,0.038,0,0,2017-18
Jashaun Smith,5,0.098,0.094,0.6,0,0,NA,2017-18
Jordan Cintron,4,0.083,0.15,1,0.083,0,0,2017-18
Jahleem Montague,2,0.04,0.062,1,0.045,0,0,2017-18
Isaiah Walton,1,0,0,NA,0.012,0,0,2017-18
Charles Glover,1,0.018000000000000002,0,0,0,0,NA,2017-18
Boaz Williams,1,0.2,NA,0,0,0,NA,2017-18
Total,68,0.09,0.096,0.5760000000000001,0.019,0.006999999999999999,0.125,2017-18
