name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tobias Sjoberg,19,0.222,0.26,0.722,0.053,0.077,1,2017-18,Marist
Aleksandar Dozic,11,0.17300000000000001,0.161,0.556,0.07400000000000001,0,0,2017-18,Marist
Isaiah Lamb,7,0.073,0.08900000000000001,0.667,0.033,0.111,1,2017-18,Marist
Lasse Gummerus,5,0.235,0.214,0.75,0.111,0,0,2017-18,Marist
Connor McClenaghan,5,0.21100000000000002,0.33299999999999996,0.75,0.053,0.125,1,2017-18,Marist
David Knudsen,3,0.044000000000000004,0.067,1,0,0,NA,2017-18,Marist
Austin Williams,3,0.031,0.053,1,0,0,NA,2017-18,Marist
Brian Parker,2,0.015,0.012,0.5,0,0,NA,2017-18,Marist
Ryan Funk,1,0.024,0.053,1,0,0,NA,2017-18,Marist
Ryan Carmello,1,0,0,NA,1,1,1,2017-18,Marist
Total,57,0.083,0.10099999999999999,0.7140000000000001,0.022000000000000002,0.03,0.5710000000000001,2017-18,Marist
