name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Nike Sibande,413,0.542,0.507,0.262,0.639,0.261,0.20600000000000002,0.294,0.16,0.5329999999999999,0.35,0.597,0.317,0.733,2017-18
Darrian Ringo,250,0.553,0.514,0.48,0.5920000000000001,0.027999999999999997,0.14800000000000002,0.37799999999999995,0,0.37200000000000005,0.312,0.276,0.392,0.7240000000000001,2017-18
Logan McLane,250,0.549,0.552,0.564,0.7090000000000001,0.64,0.252,0.317,0.3,0.184,0.261,0.917,0.29600000000000004,0.5,2017-18
Dalonte Brown,241,0.505,0.49,0.419,0.5539999999999999,0.5710000000000001,0.245,0.33899999999999997,0.5,0.336,0.34600000000000003,0.893,0.24100000000000002,0.603,2017-18
Jalen Adaway,215,0.556,0.53,0.353,0.737,0.5710000000000001,0.326,0.44299999999999995,0.226,0.321,0.261,1,0.298,0.703,2017-18
Bam Bowman,170,0.542,0.503,0.435,0.622,0.5429999999999999,0.17600000000000002,0.36700000000000005,0.273,0.38799999999999996,0.28800000000000003,0.9470000000000001,0.306,0.769,2017-18
Rod Mills,158,0.44600000000000006,0.424,0.171,0.556,0.467,0.386,0.311,0.368,0.44299999999999995,0.314,0.8640000000000001,0.12,0.789,2017-18
Isaiah Coleman-Lands,153,0.5670000000000001,0.5589999999999999,0.111,0.706,0.16699999999999998,0.19,0.31,0.111,0.6990000000000001,0.402,0.86,0.163,0.64,2017-18
Jake Wright,132,0.603,0.595,0.03,0.75,0.667,0.061,0.25,0.5,0.909,0.408,0.898,0.091,0.75,2017-18
Precious Ayah,14.000000000000002,0.468,0.28600000000000003,0.5,0.429,0.33299999999999996,0.429,0.16699999999999998,0,0.071,0,NA,0.7859999999999999,0.909,2017-18
Grant Pitman,4,1.01,1.125,0.25,0,NA,0,NA,NA,0.75,1,1,0.5,0.5,2017-18
Darius Harper,3,0.6669999999999999,0.667,1,0.667,0,0,NA,NA,0,NA,NA,0,NA,2017-18
Michael Ritchie,3,0.506,0.5,0,NA,NA,0.33299999999999996,0,NA,0.667,0.5,1,0.667,0.5,2017-18
"SMITH,LUCAS",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Total,2005.9999999999998,0.54,0.517,0.33799999999999997,0.638,0.42700000000000005,0.22399999999999998,0.33899999999999997,0.257,0.43799999999999994,0.34299999999999997,0.764,0.273,0.6859999999999999,2017-18
