name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Miles Bridges,457,0.5720000000000001,0.535,0.27399999999999997,0.6559999999999999,0.524,0.3,0.409,0.589,0.42700000000000005,0.364,0.9009999999999999,0.239,0.853,2017-18,MichiganSt.
Joshua Langford,354,0.527,0.49200000000000005,0.20600000000000002,0.5479999999999999,0.6,0.486,0.395,0.75,0.308,0.40399999999999997,1,0.20600000000000002,0.8490000000000001,2017-18,MichiganSt.
Cassius Winston,282,0.6809999999999999,0.64,0.24100000000000002,0.588,0.175,0.223,0.444,0.071,0.535,0.49700000000000005,0.84,0.319,0.9,2017-18,MichiganSt.
Nick Ward,250,0.651,0.65,0.66,0.758,0.68,0.336,0.429,0.556,0.004,1,0,0.708,0.621,2017-18,MichiganSt.
Jackson Jaren,231.99999999999997,0.647,0.595,0.44799999999999995,0.654,0.47100000000000003,0.138,0.406,0.615,0.414,0.396,0.9740000000000001,0.573,0.797,2017-18,MichiganSt.
Matt McQuaid,165,0.59,0.564,0.10300000000000001,0.529,0.556,0.091,0.4,0.5,0.8059999999999999,0.391,0.9620000000000001,0.17600000000000002,0.862,2017-18,MichiganSt.
Xavier Tillman,60,0.658,0.65,0.85,0.706,0.722,0.15,0.33299999999999996,0.667,0,NA,NA,0.5329999999999999,0.6559999999999999,2017-18,MichiganSt.
Kenny Goins,59,0.506,0.49200000000000005,0.39,0.696,0.562,0.35600000000000004,0.33299999999999996,0.857,0.254,0.267,1,0.18600000000000003,0.636,2017-18,MichiganSt.
Nairn Lourawls,54,0.532,0.546,0.46299999999999997,0.76,0.526,0.24100000000000002,0.231,0.33299999999999996,0.29600000000000004,0.312,0.6,0.09300000000000001,0.2,2017-18,MichiganSt.
Gavin Schilling,51,0.6779999999999999,0.706,0.882,0.733,0.848,0.11800000000000001,0.5,0.667,0,NA,NA,0.941,0.583,2017-18,MichiganSt.
Ben Carter,17,0.369,0.41200000000000003,0.294,0.8,0.5,0.647,0.273,1,0.059000000000000004,0,NA,0.41200000000000003,0.14300000000000002,2017-18,MichiganSt.
Conner George,15,0.188,0.2,0.267,0.5,0.5,0.2,0.33299999999999996,0,0.5329999999999999,0,NA,0.133,0,2017-18,MichiganSt.
Total,1996,0.601,0.569,0.353,0.672,0.574,0.284,0.401,0.5770000000000001,0.363,0.4,0.914,0.359,0.747,2017-18,MichiganSt.
