name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Nate Mason,428,0.526,0.48200000000000004,0.157,0.612,0.268,0.38299999999999995,0.305,0.26,0.46,0.391,0.545,0.313,0.7759999999999999,2017-18,Minnesota
Jordan Murphy,385,0.5740000000000001,0.539,0.413,0.818,0.5379999999999999,0.496,0.319,0.525,0.091,0.314,1,0.457,0.6990000000000001,2017-18,Minnesota
Isaiah Washington,279,0.445,0.40299999999999997,0.247,0.623,0.18600000000000003,0.441,0.309,0.079,0.312,0.24100000000000002,0.619,0.244,0.765,2017-18,Minnesota
Dupree McBrayer,229.99999999999997,0.47400000000000003,0.435,0.13,0.667,0.3,0.413,0.27399999999999997,0.423,0.457,0.34299999999999997,0.889,0.33899999999999997,0.679,2017-18,Minnesota
Amir Coffey,183,0.5660000000000001,0.5329999999999999,0.35,0.7809999999999999,0.68,0.33899999999999997,0.258,0.5,0.311,0.368,0.762,0.45399999999999996,0.687,2017-18,Minnesota
Davonte Fitzgerald,108,0.477,0.46799999999999997,0.14800000000000002,0.812,0.846,0.444,0.312,0.667,0.40700000000000003,0.341,1,0.222,0.542,2017-18,Minnesota
Jamir Harris,108,0.48400000000000004,0.48100000000000004,0.139,0.467,0.429,0.111,0.25,0,0.75,0.34600000000000003,0.821,0.111,0.5,2017-18,Minnesota
Reggie Lynch,101,0.622,0.584,0.584,0.746,0.614,0.41600000000000004,0.35700000000000004,0.733,0,NA,NA,0.594,0.7170000000000001,2017-18,Minnesota
Michael Hurt,79,0.536,0.5,0.418,0.636,0.7140000000000001,0.316,0.2,0.6,0.266,0.429,1,0.456,0.667,2017-18,Minnesota
Bakary Konate,38,0.549,0.526,0.789,0.667,0.8,0.21100000000000002,0,NA,0,NA,NA,0.368,0.643,2017-18,Minnesota
Gaston Diedhiou,27,0.445,0.444,0.29600000000000004,0.875,0.857,0.7040000000000001,0.263,1,0,NA,NA,0.259,0.429,2017-18,Minnesota
Brady Rudrud,3,0.33299999999999996,0.33299999999999996,0.33299999999999996,1,0,0,NA,NA,0.667,0,NA,0,NA,2017-18,Minnesota
Hunt Conroy,2,0.5,0.5,0.5,1,1,0,NA,NA,0.5,0,NA,0,NA,2017-18,Minnesota
Total,1971,0.523,0.48700000000000004,0.28,0.721,0.523,0.4,0.297,0.41,0.32,0.34600000000000003,0.7390000000000001,0.35100000000000003,0.7040000000000001,2017-18,Minnesota
