name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Isaiah Thomas,19,0.153,0.141,0.529,0.054000000000000006,0.067,0.5,2017-18,NorthernAriz.
Corey Brown,14,0.14300000000000002,0.196,0.909,0.062,0.08,0.667,2017-18,NorthernAriz.
Brooks DeBisschop,12,0.145,0.14300000000000002,0.5,0,0,NA,2017-18,NorthernAriz.
Lenell Henry,9,0.33299999999999996,0.368,0.875,0.043,0,0,2017-18,NorthernAriz.
Karl Harris,5,0.042,0.068,0.75,0.012,0,0,2017-18,NorthernAriz.
Ruben Fuaamba,5,0.294,0.28600000000000003,0.4,0,0,NA,2017-18,NorthernAriz.
Chris Bowling,3,0.024,0,0,0.015,0.042,1,2017-18,NorthernAriz.
Torry Johnson,3,0.017,0,0,0.015,0,0,2017-18,NorthernAriz.
Carlos Hines,3,0.16699999999999998,0.2,0.667,0,0,NA,2017-18,NorthernAriz.
Gino Littles,2,0,0,NA,0.038,0.071,0.5,2017-18,NorthernAriz.
Total,75,0.09,0.111,0.619,0.023,0.028999999999999998,0.455,2017-18,NorthernAriz.
