name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Lacey James,16,0.147,0.16699999999999998,0.5710000000000001,0.034,0,0,2017-18
Levi Bradley,15,0.08800000000000001,0.091,0.583,0.02,0.017,0.33299999999999996,2017-18
Noah McCarty,14,0.214,0.2,0.583,0.07400000000000001,0.4,1,2017-18
Dante Thorpe,13,0.076,0.085,0.75,0.055999999999999994,0.027000000000000003,0.2,2017-18
Gairges Daow,11,0.23399999999999999,0.28600000000000003,0.727,0,0,NA,2017-18
Owen Hamilton,7,0.292,0.353,0.857,0,0,NA,2017-18
Anastasios Demogerontas,7,0.11900000000000001,0.156,0.7140000000000001,0,0,NA,2017-18
Eugene German,4,0.008,0.006999999999999999,0.5,0.012,0,0,2017-18
Justin Thomas,2,0.038,0.034,0.5,0,0,NA,2017-18
Andrew Zelis,1,0.2,0,0,0,0,NA,2017-18
Rod Henry-Hayes,1,0.14300000000000002,0.14300000000000002,1,0,NA,NA,2017-18
Total,91,0.092,0.10099999999999999,0.649,0.025,0.022000000000000002,0.308,2017-18
