name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Terence Davis,386,0.511,0.483,0.298,0.652,0.413,0.22,0.271,0.609,0.48200000000000004,0.317,0.915,0.24100000000000002,0.72,2017-18
Breein Tyree,310,0.49899999999999994,0.469,0.213,0.515,0.11800000000000001,0.361,0.366,0.171,0.426,0.35600000000000004,0.745,0.258,0.7,2017-18
Deandre Burnett,308,0.543,0.466,0.22399999999999998,0.58,0.05,0.27899999999999997,0.244,0.095,0.49700000000000005,0.359,0.636,0.539,0.8009999999999999,2017-18
Markel Crawford,248,0.505,0.452,0.25,0.629,0.564,0.319,0.354,0.28600000000000003,0.431,0.28,0.767,0.375,0.763,2017-18
Bruce Stevens,235,0.594,0.545,0.37,0.7240000000000001,0.698,0.413,0.45399999999999996,0.636,0.217,0.275,1,0.498,0.7609999999999999,2017-18
Devontae Shuler,210,0.44,0.424,0.252,0.623,0.33299999999999996,0.195,0.268,0.455,0.552,0.259,0.9670000000000001,0.095,0.75,2017-18
Dominik Olejniczak,112.99999999999999,0.546,0.531,0.327,0.73,0.7040000000000001,0.6729999999999999,0.434,0.636,0,NA,NA,0.248,0.643,2017-18
Marcanvis Hymon,107,0.551,0.561,0.617,0.667,0.614,0.38299999999999995,0.39,0.688,0,NA,NA,0.43,0.478,2017-18
Justas Furmanavicius,77,0.559,0.526,0.28600000000000003,0.682,0.33299999999999996,0.20800000000000002,0.188,0.667,0.506,0.385,1,0.364,0.7140000000000001,2017-18
Illya Tyrtyshnik,3,0,0,0.33299999999999996,0,NA,0,NA,NA,0.667,0,NA,0,NA,2017-18
D.C. Davis,2,0.641,0.75,0,NA,NA,0,NA,NA,1,0.5,1,2,0.5,2017-18
"WATERS,TREMONT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Total,1998.9999999999998,0.523,0.483,0.289,0.64,0.446,0.317,0.348,0.445,0.39399999999999996,0.319,0.821,0.33799999999999997,0.73,2017-18
