name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Ryan Luther,24,0.489,0.56,0.636,0.069,0.182,1,2017-18,Pittsburgh
Terrell Brown,11,0.129,0.135,0.625,0.055999999999999994,0.125,0.667,2017-18,Pittsburgh
Shamiel Stevenson,9,0.073,0.08,0.667,0,0,NA,2017-18,Pittsburgh
Jared Wilson-Frame,9,0.071,0.055999999999999994,0.375,0.028999999999999998,0,0,2017-18,Pittsburgh
Kene Chukwuka,4,0.16,0.111,0.5,0,NA,NA,2017-18,Pittsburgh
Parker Stewart,4,0.1,0,0,0.032,0,0,2017-18,Pittsburgh
Peace Ilegomah,3,0.25,0,0,0.4,0,0,2017-18,Pittsburgh
Khameron Davis,3,0.086,0,0,0,0,NA,2017-18,Pittsburgh
Marcus Carr,2,0,0,NA,0.011000000000000001,0.038,1,2017-18,Pittsburgh
Total,69,0.10099999999999999,0.09300000000000001,0.526,0.032,0.052000000000000005,0.5,2017-18,Pittsburgh
