name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Reggie Dillard,401,0.548,0.52,0.254,0.647,0.258,0.267,0.39299999999999996,0.095,0.479,0.349,0.851,0.27899999999999997,0.723,2017-18
Davon Bell,317,0.53,0.46399999999999997,0.451,0.5379999999999999,0.026000000000000002,0.297,0.33,0.032,0.252,0.325,0.5770000000000001,0.43799999999999994,0.8059999999999999,2017-18
J.C. Younger,284,0.539,0.512,0.17600000000000002,0.5,0.28,0.21100000000000002,0.33299999999999996,0.2,0.613,0.385,0.97,0.158,0.8440000000000001,2017-18
Francois Lewis,146,0.603,0.589,0.37,0.667,0.528,0.226,0.424,0.429,0.40399999999999997,0.40700000000000003,0.917,0.27399999999999997,0.675,2017-18
Ethan Kay,145,0.512,0.507,0,NA,NA,0.055,0.375,0.33299999999999996,0.945,0.34299999999999997,0.9359999999999999,0.034,0.8,2017-18
Romeo Crouch,144,0.532,0.524,0.23600000000000002,0.588,0.4,0.20800000000000002,0.3,0.222,0.556,0.38799999999999996,0.871,0.271,0.564,2017-18
Armel Tete,107,0.477,0.449,0.5329999999999999,0.474,0.48100000000000004,0.467,0.42,0.47600000000000003,0,NA,NA,0.495,0.5660000000000001,2017-18
Ruben Arroyo-Felix,95,0.558,0.584,0.474,0.778,0.514,0.27399999999999997,0.385,0.4,0.253,0.292,1,0.358,0.382,2017-18
Jaron Withers,70,0.42500000000000004,0.386,0.5,0.457,0.312,0.386,0.29600000000000004,0.125,0.114,0.25,1,0.514,0.556,2017-18
Montenia Nelson,24,0.531,0.542,0.292,0.429,0,0.25,0.667,0,0.45799999999999996,0.364,1,0.20800000000000002,0.4,2017-18
Maleek Catchings,11,0.409,0.409,0.455,0.6,0.33299999999999996,0.273,0,NA,0.273,0.33299999999999996,1,0,NA,2017-18
Stephen Osu,6,0.5,0.5,1,0.5,0,0,NA,NA,0,NA,NA,0,NA,2017-18
Jamie Baker,5,0.084,0,0.2,0,NA,0.4,0,NA,0.4,0,NA,0.4,0.5,2017-18
Brent Carraway,4,0,0,0.5,0,NA,0.25,0,NA,0.25,0,NA,0,NA,2017-18
Jo'Vontae Millner,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2017-18
"BAXTER-BELL,MYO",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-18
Total,1760.0000000000002,0.53,0.504,0.307,0.575,0.289,0.254,0.36200000000000004,0.204,0.439,0.358,0.884,0.29,0.6859999999999999,2017-18
