name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Ladarien Griffin,28,0.157,0.136,0.55,0.09300000000000001,0.2,0.625,2017-18
Idris Taqqee,18,0.182,0.106,0.278,0,0,NA,2017-18
Courtney Stockard,14,0.086,0.105,0.769,0.011000000000000001,0,0,2017-18
Imadi Ikpeze,13,0.16899999999999998,0.15,0.462,0,0,NA,2017-18
Matt Mobley,10,0.054000000000000006,0.096,1,0.068,0,0,2017-18
Josh Ayeni,7,0.179,0.16699999999999998,0.429,0,0,NA,2017-18
Izaiah Brockington,2,0.049,0.045,0.5,0,0,NA,2017-18
Jaylen Adams,2,0.009000000000000001,0.02,1,0.013999999999999999,0,0,2017-18
Ndene Gueye,1,0.5,NA,0,0,NA,NA,2017-18
Total,95,0.10400000000000001,0.098,0.525,0.027999999999999997,0.025,0.33299999999999996,2017-18
