name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Aaron Holiday,459.99999999999994,0.609,0.557,0.287,0.583,0.10400000000000001,0.267,0.382,0.064,0.446,0.429,0.534,0.41700000000000004,0.828,2017-18,UCLA
Kris Wilkes,363,0.541,0.518,0.336,0.639,0.423,0.226,0.317,0.5770000000000001,0.43799999999999994,0.35200000000000004,1,0.32,0.655,2017-18,UCLA
Thomas Welsh,334,0.5770000000000001,0.552,0.165,0.7090000000000001,0.7440000000000001,0.5,0.467,0.667,0.335,0.402,1,0.174,0.828,2017-18,UCLA
Jaylen Hands,252,0.528,0.49,0.23399999999999999,0.593,0.22899999999999998,0.31,0.308,0.042,0.456,0.374,0.535,0.317,0.738,2017-18,UCLA
Prince Ali,234,0.542,0.517,0.359,0.524,0.43200000000000005,0.214,0.46,0.261,0.42700000000000005,0.36,0.75,0.39299999999999996,0.6409999999999999,2017-18,UCLA
Gyorgy Goloman,155,0.616,0.606,0.49700000000000005,0.623,0.604,0.23199999999999998,0.528,0.316,0.271,0.429,1,0.484,0.627,2017-18,UCLA
Chris Smith,107,0.492,0.46299999999999997,0.41100000000000003,0.659,0.655,0.327,0.371,0.5379999999999999,0.262,0.179,0.8,0.495,0.585,2017-18,UCLA
Alex Olesinski,95,0.636,0.611,0.34700000000000003,0.727,0.41700000000000004,0.18899999999999997,0.556,0.8,0.46299999999999997,0.364,1,0.474,0.711,2017-18,UCLA
Alec Wulff,6,0.7909999999999998,0.75,0,NA,NA,0.16699999999999998,0,NA,0.833,0.6,1,0.33299999999999996,1,2017-18,UCLA
Ikenna Okwarabizie,5,0.6,0.6,0.4,1,0.5,0.4,0.5,1,0.2,0,NA,0,NA,2017-18,UCLA
Isaac Wulff,3,0.253,0,0.33299999999999996,0,NA,0,NA,NA,0.667,0,NA,0.667,1,2017-18,UCLA
Total,2014,0.5690000000000001,0.537,0.302,0.617,0.415,0.294,0.40700000000000003,0.41100000000000003,0.40399999999999997,0.381,0.7709999999999999,0.355,0.72,2017-18,UCLA
