name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Trey Wade,13,0.255,0.27,0.833,0.016,0,0,2017-18
Matt Willms,12,0.115,0.136,0.889,0.064,0.133,0.667,2017-18
Paul Thomas,12,0.10099999999999999,0.11599999999999999,0.7140000000000001,0.038,0.07400000000000001,0.8,2017-18
Tirus Smith,10,0.13,0.179,0.833,0.125,0.222,0.5,2017-18
Keith Frazier,3,0.071,0.105,1,0,0,NA,2017-18
Isiah Osborne,2,0.043,0.07400000000000001,1,0,0,NA,2017-18
Trey Touchet,1,0,0,NA,0.045,0,0,2017-18
Jake Flaggert,1,0.33299999999999996,NA,0,NA,NA,NA,2017-18
Evan Gilyard,1,0,0,NA,0.013999999999999999,0.045,1,2017-18
Total,55,0.081,0.105,0.821,0.025,0.04,0.6,2017-18
