name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jayce Johnson,16,0.16899999999999998,0.17800000000000002,0.615,0.083,0.071,0.33299999999999996,2017-18,Utah
Donnie Tillman,12,0.11199999999999999,0.102,0.5,0,0,NA,2017-18,Utah
David Collette,11,0.047,0.043,0.667,0.027999999999999997,0.037000000000000005,0.5,2017-18,Utah
Tyler Rawson,7,0.07200000000000001,0.049,0.4,0.023,0,0,2017-18,Utah
Chris Seeley,7,0.222,0.188,0.5,0.067,0.33299999999999996,1,2017-18,Utah
Sedrick Barefield,1,0,0,NA,0.015,0,0,2017-18,Utah
Jakub Jokl,1,0.33299999999999996,0.33299999999999996,1,0,NA,NA,2017-18,Utah
Kolbe Caldwell,1,0,0,NA,0.111,0,0,2017-18,Utah
Gabe Bealer,1,0,0,NA,0.14300000000000002,0,0,2017-18,Utah
Total,57,0.068,0.064,0.565,0.027999999999999997,0.021,0.3,2017-18,Utah
