name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tyrique Jones,20,0.17,0.19399999999999998,0.737,0.045,0.083,1,2017-18,Xavier
Kerem Kanter,20,0.147,0.146,0.737,0.013999999999999999,0,0,2017-18,Xavier
J.P. Macura,20,0.12300000000000001,0.107,0.5329999999999999,0.057,0.045,0.33299999999999996,2017-18,Xavier
Sean O'Mara,17,0.139,0.13699999999999998,0.625,0.024,0.05,1,2017-18,Xavier
Naji Marshall,13,0.11699999999999999,0.10400000000000001,0.5379999999999999,0,0,NA,2017-18,Xavier
Trevon Bluiett,7,0.06,0.071,0.75,0.021,0.018000000000000002,0.33299999999999996,2017-18,Xavier
Kaiser Gates,6,0.152,0.17600000000000002,0.6,0.33299999999999996,0.33299999999999996,1,2017-18,Xavier
Paul Scruggs,3,0.028999999999999998,0,0,0.055999999999999994,0,0,2017-18,Xavier
Quentin Goodin,3,0.016,0,0,0,0,NA,2017-18,Xavier
Total,109,0.10800000000000001,0.107,0.621,0.025,0.027000000000000003,0.455,2017-18,Xavier
