name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Adam Lulka,27,0.182,0.157,0.56,0.077,0.1,0.5,2018-19,Albany(NY)
Devonte Campbell,19,0.23800000000000002,0.308,0.632,0,0,NA,2018-19,Albany(NY)
Brent Hank,12,0.308,0.28600000000000003,0.5,0,NA,NA,2018-19,Albany(NY)
Kendall Lauderdale,7,0.146,0.062,0.28600000000000003,0,0,NA,2018-19,Albany(NY)
Ahmad Clark,5,0.013999999999999999,0.017,0.5,0.011000000000000001,0,0,2018-19,Albany(NY)
DE,3,0.075,0.04,0.33299999999999996,0,0,NA,2018-19,Albany(NY)
Cameron Healy,3,0.031,0.031,0.5,0,0,NA,2018-19,Albany(NY)
Sasha French,2,0.182,0.125,0.5,0,0,NA,2018-19,Albany(NY)
Antonio Rizzuto,1,0.043,0.091,1,0,0,NA,2018-19,Albany(NY)
Total,79,0.121,0.11900000000000001,0.534,0.009000000000000001,0.009000000000000001,0.33299999999999996,2018-19,Albany(NY)
