name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Maurice Howard,340,0.587,0.563,0.10300000000000001,0.5710000000000001,0.35,0.209,0.408,0.276,0.688,0.406,0.768,0.141,0.8959999999999999,2018-19,Alcorn
Reginal Johnson,294,0.48400000000000004,0.461,0.32299999999999995,0.526,0.52,0.282,0.39799999999999996,0.606,0.395,0.302,0.943,0.27899999999999997,0.622,2018-19,Alcorn
Troymain Crosby,264,0.47000000000000003,0.39799999999999996,0.436,0.513,0.40700000000000003,0.439,0.319,0.405,0.125,0.182,0.833,0.43200000000000005,0.7809999999999999,2018-19,Alcorn
Deshaw Andrews,225.99999999999997,0.509,0.478,0.39399999999999996,0.551,0.327,0.17300000000000001,0.282,0.273,0.434,0.327,0.875,0.36700000000000005,0.6509999999999999,2018-19,Alcorn
Khari Jabriel Allen,153,0.41600000000000004,0.363,0.163,0.44,0.182,0.13699999999999998,0.33299999999999996,0.429,0.6990000000000001,0.23399999999999999,0.8,0.22899999999999998,0.857,2018-19,Alcorn
Devon Brewer,131,0.49300000000000005,0.48100000000000004,0.565,0.635,0.745,0.42700000000000005,0.28600000000000003,0.625,0.008,0,NA,0.534,0.514,2018-19,Alcorn
Jael Scott,114.99999999999999,0.49499999999999994,0.491,0.565,0.631,0.366,0.33899999999999997,0.282,0.273,0.096,0.273,0.667,0.278,0.5,2018-19,Alcorn
Alonzo Campbell,63,0.55,0.524,0.635,0.65,0.462,0.33299999999999996,0.33299999999999996,0.14300000000000002,0.032,0,NA,0.508,0.625,2018-19,Alcorn
Kobe Wilson,42,0.498,0.488,0.452,0.632,0.25,0.19,0.5,1,0.35700000000000004,0.2,1,0.31,0.5379999999999999,2018-19,Alcorn
Harold Givens,19,0.55,0.579,0.684,0.769,0.3,0.316,0.16699999999999998,1,0,NA,NA,0.21100000000000002,0.25,2018-19,Alcorn
Noah Plain,17,0.5790000000000001,0.529,0.647,0.636,0.857,0.235,0.5,0,0.11800000000000001,0,NA,0.353,0.833,2018-19,Alcorn
Tyquaylon Smith,16,0.22200000000000003,0.156,0.43799999999999994,0.14300000000000002,1,0.312,0,NA,0.25,0.25,1,0.562,0.444,2018-19,Alcorn
"JABRIELALLEN,KHARI",14.000000000000002,0.44,0.429,0.071,0,NA,0.28600000000000003,0,NA,0.643,0.444,0.5,0.28600000000000003,0.5,2018-19,Alcorn
Jonathan Floyd,14.000000000000002,0.746,0.75,0.14300000000000002,0.5,0,0.14300000000000002,1,0.5,0.7140000000000001,0.5,0.8,0.214,0.667,2018-19,Alcorn
"ROBINSON,UNKNOWN",8,0.556,0.5,0.125,1,0,0.875,0.429,0,0,NA,NA,0.5,0.75,2018-19,Alcorn
JABRIEL,3,0.918,1,0,NA,NA,0.33299999999999996,0,NA,0.667,1,0,1.3330000000000002,0.75,2018-19,Alcorn
David Robinson,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2018-19,Alcorn
Total,1721,0.504,0.473,0.344,0.5660000000000001,0.44799999999999995,0.281,0.337,0.423,0.375,0.327,0.81,0.316,0.674,2018-19,Alcorn
