name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Brandon Randolph,370,0.479,0.436,0.273,0.594,0.217,0.37,0.314,0.163,0.35700000000000004,0.295,0.897,0.259,0.7809999999999999,2018-19,Arizona
Justin Coleman,234,0.519,0.466,0.27399999999999997,0.5,0.062,0.252,0.28800000000000003,0,0.474,0.36,0.475,0.363,0.7879999999999999,2018-19,Arizona
Brandon Williams,231,0.527,0.455,0.32,0.541,0.05,0.18600000000000003,0.256,0.091,0.494,0.316,0.75,0.455,0.8190000000000001,2018-19,Arizona
Ryan Luther,225,0.558,0.54,0.249,0.625,0.457,0.218,0.38799999999999996,0.737,0.5329999999999999,0.375,0.956,0.151,0.765,2018-19,Arizona
Chase Jeter,223,0.59,0.574,0.574,0.695,0.64,0.426,0.41100000000000003,0.359,0,NA,NA,0.511,0.623,2018-19,Arizona
Dylan Smith,220.00000000000003,0.47600000000000003,0.445,0.209,0.435,0.05,0.195,0.209,0.111,0.595,0.35100000000000003,0.8909999999999999,0.209,0.7390000000000001,2018-19,Arizona
Ira Lee,133,0.627,0.617,0.639,0.7290000000000001,0.532,0.34600000000000003,0.435,0.4,0.015,0,NA,0.48100000000000004,0.6409999999999999,2018-19,Arizona
Alex Barcello,84,0.527,0.47600000000000003,0.179,0.667,0.2,0.25,0.429,0.444,0.5710000000000001,0.292,1,0.25,0.905,2018-19,Arizona
Devonaire Doutrive,68,0.535,0.522,0.5589999999999999,0.5529999999999999,0.381,0.147,0.1,0,0.294,0.45,0.778,0.41200000000000003,0.5710000000000001,2018-19,Arizona
Emmanuel Akot,66,0.438,0.439,0.212,0.7859999999999999,0.727,0.47,0.29,0.556,0.318,0.28600000000000003,0.833,0.22699999999999998,0.4,2018-19,Arizona
Jake DesJardins,6,0.29900000000000004,0.16699999999999998,0.833,0.2,0,0.16699999999999998,0,NA,0,NA,NA,2,0.41700000000000004,2018-19,Arizona
Matt Weyand,1,1,1,1,1,0,0,NA,NA,0,NA,NA,0,NA,2018-19,Arizona
Total,1861,0.526,0.49,0.337,0.609,0.37200000000000005,0.287,0.331,0.305,0.376,0.336,0.813,0.33299999999999996,0.7190000000000001,2018-19,Arizona
