name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Matt Wilson,23,0.094,0.09699999999999999,0.65,0.027999999999999997,0.038,0.667,2018-19,ArmyWestPoint
Alex King,11,0.125,0.15,0.6,0.032,0,0,2018-19,ArmyWestPoint
Cayne Edwards,8,0.11,0.095,0.5,0,0,NA,2018-19,ArmyWestPoint
Josh Caldwell,5,0.111,0.136,0.6,0,0,NA,2018-19,ArmyWestPoint
Jacob Kessler,5,0.14300000000000002,0.17600000000000002,0.75,0.125,0.25,1,2018-19,ArmyWestPoint
Lonnie Grayson,3,0.065,0.12,1,0,0,NA,2018-19,ArmyWestPoint
Tommy Funk,2,0.012,0.022000000000000002,1,0,0,NA,2018-19,ArmyWestPoint
Aaron Duhart,2,0.022000000000000002,0.038,1,0,0,NA,2018-19,ArmyWestPoint
Nick Finke,1,1,NA,0,NA,NA,NA,2018-19,ArmyWestPoint
John Miller,1,0.33299999999999996,0,0,NA,NA,NA,2018-19,ArmyWestPoint
Brendan Thiele,1,0.5,NA,0,NA,NA,NA,2018-19,ArmyWestPoint
John Emezie,1,0.028999999999999998,0.048,1,0,0,NA,2018-19,ArmyWestPoint
Jordan Fox,1,0,0,NA,0,0,NA,2018-19,ArmyWestPoint
Total,64,0.071,0.079,0.632,0.017,0.027000000000000003,0.6,2018-19,ArmyWestPoint
